Pri_dMass,Pri_dTidaLQ,Sec_dMass,Sec_dTidalQ,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb
0.894125,1196780.0,0.123117,2889280.0,3740469245.402663,3805837032.3398857,3159523761.868229,4.34377,36.561624,40.666338,2.75527,32.702905,40.666338,0.111656,0.111633,0.111655,40.676,40.666338,40.678157
0.335716,53721000.0,0.262132,386998.0,2145773303.7412808,1405114457.8313253,4517697003.601625,0.943757,23.946182,23.93435,8.64077,23.946182,23.93435,0.186534,0.186462,0.186509,23.954,23.93435,23.946182
0.362916,199902.0,0.2943,29644300.0,308564204.1851617,1444971464.8065948,3215364123.0853386,13.0854,14.984302,14.928799,2.68345,14.984302,14.928799,0.057833,0.056651,0.057314,14.9936,14.928796,14.984302
0.827239,136361.0,0.297277,29414.6,216487159.16296765,2251662.0164870005,3452458451.769776,4.64184,10.479875,9.858819,3.71628,10.479875,9.858819,0.297029,0.281153,0.291771,16.266,14.788224,15.719799
0.730466,79562.0,0.281255,54596.3,3023033925.1743817,3567821813.57007,4996926665.77116,8.68907,60.383273,60.381527,2.72959,60.383273,60.381527,0.009587,0.009582,0.009585,60.3743,60.381527,60.383273
0.389391,6461200.0,0.217114,11709900.0,6249686112.872542,-3.170577045022194e-08,5002006650.367331,8.23682,60.170631,68.929617,1.1897,50.592958,64.474192,0.188933,0.188933,0.188933,68.9299,68.929617,68.92993
0.693125,70206000.0,0.4757,3532130.0,-3.170577045022194e-08,-3.170577045022194e-08,4965867649.689554,4.13428,56.920536,68.147057,4.80969,62.754643,76.344774,0.040302,0.040302,0.040302,82.0989,82.098975,82.098954
0.136502,77435.7,0.112282,10955.8,2293623018.389347,2357174381.7374763,6303634412.060871,2.68738,24.799736,24.79793,1.08639,24.799736,24.79793,0.12069,0.120781,0.120827,24.7465,24.79793,24.799736
0.16756,2748540.0,0.109785,68622200.0,3969486366.5187063,3843804692.4540267,2054325591.8864737,4.28806,23.099741,45.659258,7.87756,22.047726,45.659258,0.247903,0.247903,0.247903,68.4912,68.488887,68.491216
0.547204,5378120.0,0.422401,1428230.0,1669147431.8325934,1240302155.9923906,4754607832.511995,0.983011,28.835438,28.824905,13.6479,28.835438,28.824905,0.131648,0.131606,0.131625,28.8488,28.824905,28.835438
0.746483,17116000.0,0.444926,60095300.0,-3.170577045022194e-08,-3.170577045022194e-08,6260034270.246605,2.97622,59.944342,63.572587,3.87482,69.105624,73.705073,0.159224,0.159224,0.159224,98.7825,98.782534,98.782531
0.965617,82003700.0,0.771397,189481.0,-3.170577045022194e-08,-3.170577045022194e-08,5153276698.353753,1.26929,41.17137,49.720177,9.79976,66.500784,94.81952,0.03274,0.03274,0.032741,95.7808,95.78403,95.783142
0.602695,22894000.0,0.372435,24517300.0,2271902663.284718,2934954343.6905518,3517553261.0747952,13.5578,43.115389,43.109516,6.77948,43.115389,43.109516,0.254466,0.254466,0.254466,64.6758,64.664273,64.673083
0.651208,23414900.0,0.515601,17000.3,3126251426.7596703,764548826.8864933,1615051754.3807154,1.18483,28.903792,45.366809,8.5306,45.382886,45.366809,0.11699,0.11641,0.116967,45.363,45.366809,45.382886
0.368721,24066.2,0.125381,33669500.0,4959162967.660114,-3.170577045022194e-08,1275180475.4731703,0.993011,6.557317,63.882403,0.985532,0.991269,61.937903,0.129553,0.129548,0.129559,63.8786,63.882403,63.881046
0.727679,2197190.0,0.532004,140324.0,6548493975.903614,3195069752.6949906,3811538180.161248,3.61224,48.194281,66.971978,9.31844,66.972687,66.971978,0.005302,0.005301,0.005302,66.9703,66.971978,66.972687
0.223922,5514870.0,0.164056,564831.0,4718237159.162968,5849432466.708941,2050066224.7928278,10.0558,30.679763,55.849369,1.0768,8.633915,55.849369,0.274503,0.274503,0.274503,83.7751,83.774054,83.775153
0.981227,18771500.0,0.499818,12994500.0,-3.170577045022194e-08,-3.170577045022194e-08,1065210405.3061235,8.0861,18.185848,49.345388,2.16343,17.890638,75.344077,0.107756,0.107756,0.107756,93.5349,93.535015,93.534914
0.413647,314352.0,0.233233,257826.0,1232679771.7184527,1403330057.070387,4623359020.724394,2.36892,19.069919,19.039435,3.96001,19.069919,19.039435,0.206629,0.205589,0.206159,19.0806,19.039435,19.069918
0.661954,78864.0,0.384944,100407.0,4174977805.960685,4753579581.48383,5082142327.257681,5.4033,64.59043,64.588786,6.55015,64.59043,64.588786,0.266253,0.266263,0.266265,96.8812,96.883179,96.885645
0.495283,1206920.0,0.373342,5464930.0,1348297083.0691185,1321156626.5060241,6426309538.963062,2.85822,25.569875,25.566879,10.0253,25.569875,25.566879,0.279625,0.279626,0.279626,38.3928,38.350318,38.354812
0.459538,1316620.0,0.211219,5663660.0,602617311.3506658,766199746.3538364,4184966144.9735312,2.1476,7.030825,6.864315,5.63557,7.030825,6.864315,0.133265,0.119001,0.126396,7.15391,6.864313,7.030825
0.859697,122361.0,0.567907,25078300.0,1044769499.0488269,1431831008.2435002,4525714837.93712,9.62293,33.080632,33.066038,11.2474,33.080632,33.066038,0.279207,0.279146,0.279206,49.6322,49.599056,49.620947
0.131094,26425.0,0.121647,38994500.0,113001870.64045656,2663136651.8706403,1583937973.2154005,10.0728,18.398873,18.378829,1.38535,2.348174,18.378829,0.048553,0.048332,0.048596,18.3582,18.378829,18.398873
