Pri_dMass,Pri_dTidaLQ,Sec_dMass,Sec_dTidalQ,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb,Initial_Peq,Final_Peq,Age_Peq
0.618137,1592400.0,0.483897,146584.0,-3.170577045022194e-08,5019784400.760939,3315307796.392037,1.2811,48.610887,73.695185,2.52595,53.183145,71.257333,0.190432,0.190426,0.190437,71.2559,71.257333,71.257925,71.2559,71.257333,71.257925
0.664883,144934.0,0.136795,34130.2,-3.170577045022194e-08,-3.170577045022194e-08,6624365538.741439,10.2979,35.754929,35.751766,12.6839,32.851289,32.842542,0.274129,0.273646,0.273684,35.7812,35.75091,35.754068,23.854133,23.83394,23.836045
0.85968,35923.7,0.673218,22374900.0,4010462904.2485733,-3.170577045022194e-08,2535173261.5957727,6.72326,47.666333,97.418361,7.76818,41.368523,70.512785,0.149407,0.14938,0.149425,97.4074,97.418361,97.416842,97.4074,97.418361,97.416842
0.995128,130054.0,0.121909,134422.0,-3.170577045022194e-08,-3.170577045022194e-08,6139670496.400123,4.92419,53.73438,64.120487,4.69749,65.688195,67.402763,0.074137,0.074133,0.074144,64.9169,64.935294,64.93213,64.9169,64.935294,64.93213
0.451749,831177.0,0.207662,5640410.0,-3.170577045022194e-08,-3.170577045022194e-08,6053787945.317983,1.47152,64.751739,69.375127,1.83557,59.136462,65.121421,0.145248,0.145246,0.145247,52.5902,52.590281,52.590418,52.5902,52.590281,52.590418
0.756246,251248.0,0.579502,2948320.0,581492390.6150919,-3.170577045022194e-08,2205199135.405054,1.10274,18.927446,18.865314,2.54016,22.912602,22.599125,0.095503,0.090739,0.094584,18.898,18.865314,18.927446,18.898,18.865314,18.927446
0.496261,39698700.0,0.326081,188263.0,-3.170577045022194e-08,4477241597.970831,3636162456.8152575,1.41858,50.095879,74.332988,4.46056,49.112529,57.120027,0.223163,0.223159,0.223165,57.1197,57.120027,57.120846,57.1197,57.120027,57.120846
0.562736,349791.0,0.473472,374883.0,3207086239.695625,3684587824.984147,6662084155.795035,6.35001,55.162196,55.161761,3.35731,55.162196,55.161761,0.185367,0.185341,0.185343,55.1635,55.161761,55.162196,55.1635,55.161761,55.162196
0.248651,24374.5,0.230788,15965300.0,4011337983.5129995,-3.170577045022194e-08,4047572628.802869,5.6769,59.357886,59.356625,0.911963,41.634568,64.151665,0.199597,0.199589,0.199604,59.3535,59.356625,59.357886,59.3535,59.356625,59.357886
0.915051,7315450.0,0.536629,21067200.0,-3.170577045022194e-08,-3.170577045022194e-08,2258385666.254863,11.4703,30.659467,45.493526,3.32655,39.552708,72.715459,0.110923,0.110911,0.110924,39.4725,39.471659,39.473344,39.4725,39.471659,39.473344
