Pri_dMass,Pri_dTidaLQ,Sec_dMass,Sec_dTidalQ,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb,Initial_Peq,Final_Peq,Age_Peq
0.64148,30462.4,0.528968,36641900.0,2284629359.543437,-3.170577045022194e-08,5769907990.744881,3.13657,63.231901,63.23108,8.61149,56.076587,62.489622,0.093187,0.093107,0.093134,63.2189,63.23108,63.231901,63.2189,63.23108,63.231901
0.901189,229868.0,0.378815,19179700.0,-3.170577045022194e-08,-3.170577045022194e-08,6816642001.660188,5.57094,50.484972,51.720242,1.73762,52.915545,53.812589,0.032785,0.032788,0.032788,87.6087,87.61371,87.613543,87.6087,87.61371,87.613543
0.235329,1108860.0,0.121329,2140120.0,-3.170577045022194e-08,-3.170577045022194e-08,5225978383.403806,0.859032,35.727636,47.152738,8.36319,41.740342,52.254642,0.232531,0.232531,0.232531,99.4469,99.446935,99.446929,66.297933,66.297957,66.297953
0.556732,2553590.0,0.45323,10549500.0,-3.170577045022194e-08,-3.170577045022194e-08,6400608156.13622,3.88711,36.084994,36.184052,1.32089,47.454401,49.341203,0.227486,0.227426,0.227434,28.3462,28.341691,28.3425,28.3462,28.341691,28.3425
0.430775,185591.0,0.325415,9129220.0,5014752694.990488,-3.170577045022194e-08,2855721090.94384,13.7215,37.925803,58.803983,1.52242,21.715644,52.499495,0.018937,0.018937,0.018938,58.8027,58.803983,58.803886,58.8027,58.803983,58.803886
0.528145,123308.0,0.358732,281665.0,53393.27837666455,3679.2168674698796,1967379765.9037027,7.30367,3.422421,3.184039,3.32012,3.422421,3.184039,0.016532,0.0,0.0,3.45721,3.184039,3.422415,3.45721,3.184039,3.422421
0.935583,13367200.0,0.565794,431328.0,-3.170577045022194e-08,-3.170577045022194e-08,3817950004.2955656,12.4618,30.851978,42.984281,2.09442,42.506661,64.395621,0.098971,0.098972,0.098971,95.8299,95.830634,95.830296,95.8299,95.830634,95.830296
0.766891,5620150.0,0.360032,2612550.0,-3.170577045022194e-08,-3.170577045022194e-08,6843382171.911873,11.9526,45.122714,45.407761,10.1035,48.590768,48.875053,0.040837,0.040832,0.040832,34.7891,34.788665,34.788741,34.7891,34.788665,34.788741
0.751408,6887840.0,0.206278,611736.0,-3.170577045022194e-08,2507390298.034242,5283622371.050875,10.7767,39.665123,42.864683,8.72959,26.113198,26.111027,0.216744,0.216685,0.21671,26.1145,26.111027,26.113198,26.1145,26.111027,26.113198
0.530998,2961160.0,0.291583,6066880.0,-3.170577045022194e-08,-3.170577045022194e-08,5063858970.515522,10.471,27.466362,27.371553,1.37629,30.799303,32.980961,0.215879,0.215633,0.215727,18.7594,18.745049,18.75128,18.7594,18.745049,18.75128
