Pri_dMass,Pri_dTidaLQ,Sec_dMass,Sec_dTidalQ,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb,Initial_Peq,Final_Peq,Age_Peq
0.416424,824974.0,0.218396,1430960.0,3361414077.36208,-3.170577045022194e-08,6928880083.605927,14.4038,24.656124,24.656059,4.108,58.278972,58.481235,0.189681,0.189576,0.189578,24.6556,24.656059,24.656124,24.6556,24.656059,24.656124
0.534325,18478.8,0.1641,29430.5,5774327837.666455,24008744.45149017,3097810233.7396536,1.17959,21.683814,21.469272,4.41218,14.45649,21.469272,0.245517,0.225137,0.2388,21.6129,21.469272,21.684734,14.4086,21.469272,14.45649
0.182515,7678630.0,0.181466,1186290.0,1781259.0361445784,4630526.315789473,1841962929.460567,2.68522,2.279791,3.178583,8.36355,2.279791,3.178583,0.269424,0.160827,0.233518,3.65629,3.178583,3.419681,2.437527,3.178583,2.279791
0.636699,2724220.0,0.447773,31323.4,5859438807.863031,1426318642.9930248,1782259136.651866,5.13897,24.337139,38.188643,0.967696,38.188332,38.188643,0.041733,0.041609,0.041754,38.1667,38.188643,38.188332,38.1667,38.188643,38.188332
0.215774,272217.0,0.153859,25640000.0,-3.170577045022194e-08,-3.170577045022194e-08,1245028751.4937947,0.868552,1.530455,78.990565,3.67156,3.76173,84.91392,0.15933,0.15933,0.159332,45.725,45.725265,45.725493,45.725,45.725265,45.725493
0.291231,200342.0,0.249846,43900600.0,-3.170577045022194e-08,-3.170577045022194e-08,4167319087.997572,10.9559,92.460422,106.882913,1.57453,75.297078,97.985612,0.147697,0.147697,0.147697,89.0806,89.080616,89.080733,89.0806,89.080616,89.080733
0.117918,121258.0,0.115017,29814.7,-3.170577045022194e-08,-3.170577045022194e-08,3814444937.1259303,4.77488,32.336207,65.49132,4.30469,29.566632,52.263095,0.16357,0.16358,0.163588,46.0169,46.020049,46.021084,46.0169,46.020049,46.021084
0.23447,29673.8,0.203495,599587.0,-3.170577045022194e-08,-3.170577045022194e-08,1761473425.7567782,1.56281,9.162514,36.584269,0.823791,3.209368,68.195264,0.23472,0.234651,0.234848,34.3754,34.373598,34.395524,22.916933,22.915732,22.930349
0.307751,19270500.0,0.262963,322083.0,-3.170577045022194e-08,-3.170577045022194e-08,1365916759.8683429,8.17866,45.944696,111.969923,2.82108,9.444927,85.808889,0.020293,0.020293,0.020293,51.906,51.905944,51.906303,51.906,51.905944,51.906303
0.155979,3356540.0,0.119328,5648460.0,-3.170577045022194e-08,-3.170577045022194e-08,6421518001.464074,3.27631,80.661969,83.913449,6.82003,73.013081,76.148063,0.066955,0.066955,0.066955,39.8806,39.88064,39.880646,39.8806,39.88064,39.880646
0.616711,671224.0,0.29647,20191900.0,987240012.6823082,-3.170577045022194e-08,4595057372.457413,2.602,23.15862,23.154637,12.8236,87.609052,93.639285,0.035949,0.035823,0.035875,23.1578,23.154637,23.15862,23.1578,23.154637,23.15862
0.798478,745757.0,0.396335,4118550.0,897620481.9277109,5333988585.922638,5166088432.175693,2.5253,27.407786,27.404759,0.957543,26.564022,27.404759,0.016768,0.016708,0.016728,27.407,27.404759,27.407786,27.407,27.404759,27.407786
0.537347,11799.2,0.32337,150839.0,4130773620.7989855,-3.170577045022194e-08,1574907400.2036672,1.68702,23.082641,75.686082,1.9871,22.806059,90.64442,0.168633,0.16859,0.168662,75.6675,75.686082,75.678852,75.6675,75.686082,75.678852
0.554464,4358970.0,0.338012,622312.0,-3.170577045022194e-08,-3.170577045022194e-08,4431943275.94722,2.04672,28.228167,32.707682,8.90254,75.433925,76.050307,0.022085,0.022083,0.022084,40.2296,40.22963,40.229904,40.2296,40.22963,40.229904
0.677672,10412600.0,0.585991,5193260.0,-3.170577045022194e-08,-3.170577045022194e-08,3010733993.332755,4.15453,28.290158,35.677348,1.37412,25.708506,32.793065,0.133721,0.133722,0.133721,69.3707,69.371022,69.370839,69.3707,69.371022,69.370839
0.351414,63500900.0,0.262296,38355.6,-3.170577045022194e-08,-3.170577045022194e-08,3619173886.0543885,14.7025,21.075339,25.515825,3.40584,58.386542,58.38338,0.246149,0.246137,0.246154,58.3818,58.38101,58.38415,38.9212,38.920673,38.922767
0.862918,17926200.0,0.228504,99195.8,-3.170577045022194e-08,-3.170577045022194e-08,6537644685.780752,7.45465,41.790917,42.649909,8.36064,77.691302,78.113895,0.023089,0.023089,0.023089,71.9218,71.921944,71.921967,71.9218,71.921944,71.921967
0.493917,28732500.0,0.166882,4741680.0,-3.170577045022194e-08,-3.170577045022194e-08,1301173084.791473,2.52063,17.270125,28.951082,0.8282,1.047824,72.03744,0.293933,0.293931,0.293935,28.4577,28.457781,28.457977,18.9718,18.971854,18.971984
0.976778,211771.0,0.116772,51330.6,4145370957.5142674,3578468611.2872543,4907948719.954824,10.0369,48.952257,48.947109,7.30145,48.952257,48.947109,0.105419,0.105324,0.105377,48.9422,48.947109,48.952257,48.9422,48.947109,48.952257
0.730363,9586290.0,0.245017,80758400.0,-3.170577045022194e-08,-3.170577045022194e-08,2416800668.3198795,5.63494,24.151355,25.342305,1.47759,24.609602,86.877135,0.099583,0.09945,0.099545,16.9039,16.892959,16.901418,16.9039,16.892959,16.901418
0.417728,1506910.0,0.176284,38462.0,-3.170577045022194e-08,1572332.9105897273,3172593326.4233527,1.94337,20.858951,20.914341,10.3906,13.957575,13.942693,0.230874,0.230532,0.230751,20.939,20.91404,20.936362,13.959333,13.942693,13.957575
0.431324,44510800.0,0.102714,127927.0,-3.170577045022194e-08,-3.170577045022194e-08,5080226470.245098,1.50551,24.19651,26.643216,8.12105,56.318828,68.307092,0.169289,0.169289,0.16929,64.5003,64.500489,64.500502,64.5003,64.500489,64.500502
0.364892,2224300.0,0.171805,52809200.0,-3.170577045022194e-08,-3.170577045022194e-08,3950453317.34081,2.41115,20.880641,25.109863,1.84775,57.839415,86.476404,0.020699,0.0207,0.0207,72.7569,72.75696,72.756936,72.7569,72.75696,72.756936
0.625255,1153220.0,0.381784,643581.0,5154235890.93215,-3.170577045022194e-08,4154865153.694354,4.39591,33.751323,37.775188,1.61442,25.36743,34.424268,0.142782,0.142755,0.142784,37.77,37.775188,37.774814,37.77,37.775188,37.774814
0.965774,371588.0,0.570162,83572800.0,486408.37032339885,5065932149.651237,4029412868.639264,9.53545,3.563165,0.213148,0.970044,7.031043,0.213148,0.16844,0.0,0.0,5.73147,0.213143,3.563165,5.73147,0.213148,3.563165
0.482868,586740.0,0.119856,28225.5,-3.170577045022194e-08,-3.170577045022194e-08,6856408842.594452,5.28681,28.717876,28.951041,2.6481,78.841313,80.604117,0.029923,0.029923,0.029923,83.8621,83.862738,83.86273,83.8621,83.862738,83.86273
0.582861,11629300.0,0.567405,27225.0,-3.170577045022194e-08,6597266962.587191,3736223317.5584865,11.0048,27.759353,32.736133,1.35691,38.114126,89.386465,0.144761,0.14477,0.144776,89.3751,89.386465,89.382683,89.3751,89.386465,89.382682
0.495253,4105260.0,0.195268,65513.3,-3.170577045022194e-08,-3.170577045022194e-08,4795499328.209926,4.33583,26.704736,29.880415,7.11757,43.620878,43.79422,0.106165,0.106156,0.106167,36.8824,36.882648,36.884283,36.8824,36.882648,36.884283
0.175229,23154700.0,0.161761,3844450.0,-3.170577045022194e-08,-3.170577045022194e-08,2853967577.2879515,1.36406,15.533199,80.085638,1.31499,11.661352,63.228958,0.069357,0.069358,0.069362,17.5948,17.595203,17.595673,17.5948,17.595203,17.595673
