Pri_dMass,Pri_dTidaLQ,Sec_dMass,Sec_dTidalQ,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb,Initial_Peq,Final_Peq,Age_Peq
0.432703,82402900.0,0.162076,461273.0,-3.170577045022194e-08,-3.170577045022194e-08,3562301369.182905,3.95247,49.00462,73.072297,2.93779,39.957444,66.722168,0.03136,0.031361,0.031361,61.7249,61.725015,61.724997,61.7249,61.725015,61.724997
0.674488,5671610.0,0.383584,40355.8,-3.170577045022194e-08,1352740646.797717,3775529847.8778048,1.21225,42.00721,47.579129,1.27782,28.130306,28.110146,0.204329,0.203203,0.204028,28.0993,28.110145,28.130306,28.0993,28.110146,28.130306
0.529753,58398.1,0.192879,8859690.0,1712951490.1712112,-3.170577045022194e-08,1647688619.0429506,2.0804,36.582714,38.738331,3.01993,12.859879,64.571158,0.120886,0.120671,0.120915,38.7438,38.738331,38.756766,38.7438,38.738331,38.756766
0.816762,10814700.0,0.755451,16494200.0,224287603.04375395,-3.170577045022194e-08,1378516074.9304624,4.23288,7.11649,6.647193,5.39612,8.193665,7.1446,0.096608,0.079227,0.094425,7.17295,6.647193,7.11649,7.17295,6.647193,7.11649
0.818698,20221.8,0.526128,53543500.0,2947665821.179455,-3.170577045022194e-08,1306655935.6239057,2.24869,26.211883,88.741696,2.17277,24.245337,75.722342,0.119283,0.119222,0.119299,88.7271,88.741696,88.73577,88.7271,88.741696,88.73577
0.778027,92008100.0,0.429747,7262580.0,-3.170577045022194e-08,-3.170577045022194e-08,5889883465.805362,8.17371,56.363165,61.617174,1.30526,63.840894,70.677518,0.278164,0.278164,0.278164,66.846,66.846035,66.846049,44.564,44.564024,44.564033
0.650273,2482820.0,0.38702,837135.0,-3.170577045022194e-08,-3.170577045022194e-08,2233029072.886297,1.43405,36.711276,70.595527,7.32332,36.524611,71.002254,0.134588,0.134587,0.134589,63.8389,63.839281,63.839264,63.8389,63.839281,63.839264
0.995169,98650.1,0.907485,4200330.0,4005986049.461002,-3.170577045022194e-08,3396937362.485168,11.7973,61.153622,89.984495,2.18897,36.418526,55.206036,0.108515,0.108487,0.108532,89.9736,89.984495,89.98434,89.9736,89.984495,89.98434
0.300147,13537.2,0.152765,40141.8,-3.170577045022194e-08,-3.170577045022194e-08,2894879345.7821083,5.66793,41.83937,84.717839,3.5431,33.300873,72.096773,0.172142,0.172144,0.172148,90.61,90.613829,90.612587,90.61,90.613829,90.612587
0.556541,1802410.0,0.526619,2315530.0,-3.170577045022194e-08,-3.170577045022194e-08,3537346782.653191,1.044,50.541478,74.659557,6.19571,53.451074,76.648272,0.253289,0.253288,0.25329,73.2092,73.20944,73.209614,48.806133,48.806293,48.806409
0.957225,66031200.0,0.643547,1123620.0,-3.170577045022194e-08,-3.170577045022194e-08,3922554443.195954,12.7862,37.144476,51.268152,0.872719,54.333749,70.075104,0.018389,0.018389,0.018389,67.3284,67.328986,67.329012,67.3284,67.328986,67.329012
0.471805,276219.0,0.352699,5450110.0,1641639822.4476855,-3.170577045022194e-08,2694125601.01589,1.85451,30.544574,30.531498,2.65191,36.019508,60.52739,0.161768,0.16161,0.161758,30.541,30.531498,30.544574,30.541,30.531498,30.544574
0.220725,103414.0,0.183692,101665.0,2015118579.5814838,933516169.9429296,1345500747.029241,0.987154,2.993417,19.614384,10.5313,19.642541,19.614384,0.152584,0.152204,0.15294,19.6021,19.614383,19.642542,19.6021,19.614384,19.642541
0.824592,1018840.0,0.814755,677977.0,700145212.4286621,572098922.0038047,5188490439.967462,6.1726,23.16002,23.14243,8.37562,23.16002,23.14243,0.145383,0.14273,0.143576,23.1822,23.14243,23.16002,23.1822,23.14243,23.16002
0.846339,75608.3,0.723192,760036.0,620033.9251743817,697951.4901712112,6203107933.78537,7.98057,3.853286,3.708974,2.73393,3.853286,3.708974,0.269438,0.0,0.0,5.66791,3.708971,3.853285,3.778607,3.708974,3.853286
0.997714,27072500.0,0.682726,254726.0,-3.170577045022194e-08,4781556753.329106,3103713129.7918367,0.966361,29.714319,48.110731,1.36601,50.758125,74.106168,0.136014,0.136009,0.136019,74.1039,74.106168,74.10605,74.1039,74.106168,74.10605
0.862451,7617860.0,0.22952,7377350.0,-3.170577045022194e-08,-3.170577045022194e-08,4289014828.928662,8.20828,42.483594,51.084545,7.91392,50.05243,64.776575,0.049587,0.049581,0.049585,32.922,32.921003,32.922107,32.922,32.921003,32.922107
0.379022,16276400.0,0.259586,61877.6,-3.170577045022194e-08,-3.170577045022194e-08,3070869466.2294717,5.42142,43.390967,71.852687,2.16312,37.34764,80.241923,0.022055,0.022055,0.022056,81.986,81.98691,81.986502,81.986,81.98691,81.986502
0.483225,4221520.0,0.406184,31637500.0,-3.170577045022194e-08,-3.170577045022194e-08,1530926546.6200843,13.3512,33.156471,77.642218,11.5889,30.066063,73.91292,0.229606,0.229606,0.229606,97.098,97.098038,97.098015,64.732,64.732025,64.73201
0.637589,2116730.0,0.594095,86097.2,1334830.0570703868,506620.1648700063,4884663087.462368,4.7104,4.87321,4.664492,9.18717,4.87321,4.664492,0.286056,0.0,1.446425e-08,7.00899,4.664491,4.873207,4.67266,4.664492,4.87321
0.163071,11351300.0,0.106882,103987.0,-3.170577045022194e-08,-3.170577045022194e-08,6333490830.428407,1.35722,59.003097,63.805742,8.6398,66.101474,70.658622,0.101654,0.101654,0.101654,94.7542,94.754285,94.754282,94.7542,94.754285,94.754282
0.536709,29876300.0,0.529193,79237.9,-3.170577045022194e-08,1869392834.4958782,6019166755.705558,1.6625,68.784223,74.584189,1.08546,45.381247,45.380129,0.104391,0.104299,0.10432,45.3769,45.380129,45.381247,45.3769,45.380129,45.381247
0.421007,32351100.0,0.219123,83532.7,-3.170577045022194e-08,-3.170577045022194e-08,3904015841.118167,12.0336,53.998101,74.532795,2.18574,44.542034,70.975729,0.161679,0.16168,0.16168,85.9564,85.956875,85.95677,85.9564,85.956875,85.95677
0.518284,128245.0,0.147175,16848.2,-3.170577045022194e-08,4705640456.563094,3058109470.291524,4.58314,49.13609,73.953353,7.88689,48.70294,69.49351,0.207202,0.207198,0.207212,69.491,69.49351,69.494514,69.491,69.49351,69.494514
0.429263,36238500.0,0.314051,254670.0,-3.170577045022194e-08,-3.170577045022194e-08,5804466886.552045,7.61868,66.193232,73.270532,3.98226,39.241726,39.240673,0.289917,0.28989,0.2899,39.2407,39.239669,39.240715,26.160467,26.159779,26.160477
0.53729,92156000.0,0.368642,35910.9,-3.170577045022194e-08,1310450.8560558022,4712426107.9462805,9.05632,36.116825,36.045437,1.71383,8.894514,8.863897,0.045496,0.011725,0.017941,8.83006,8.863897,8.894514,8.83006,8.863897,8.894514
0.513309,43654700.0,0.28368,16849100.0,-3.170577045022194e-08,-3.170577045022194e-08,6688444068.334396,3.87406,74.314576,76.280041,9.80839,69.947723,72.103535,0.038604,0.038604,0.038604,60.0491,60.049111,60.049112,60.0491,60.049111,60.049112
0.907779,50458000.0,0.745914,11704.2,-3.170577045022194e-08,752373811.0336081,2339019843.27528,1.16342,29.030324,53.353543,2.38664,42.86826,42.824637,0.272127,0.271958,0.27219,64.2839,64.236955,64.30239,42.855933,42.824637,42.86826
0.785055,10901.4,0.231095,32334300.0,4326261889.6639185,-3.170577045022194e-08,6649978668.342667,1.13543,93.085754,93.085643,5.704,66.469487,68.829866,0.005733,0.005732,0.005732,93.0636,93.085643,93.085754,93.0636,93.085643,93.085754
0.993345,2418640.0,0.351312,13157700.0,6102805960.684845,-3.170577045022194e-08,4895603385.016291,1.90335,42.152721,51.211882,1.90395,55.23194,68.862998,0.013407,0.013406,0.013407,51.2091,51.211882,51.21179,51.2091,51.211882,51.21179
0.458375,4265930.0,0.231081,19215000.0,-3.170577045022194e-08,-3.170577045022194e-08,2688546206.643352,1.2832,38.709149,72.686921,2.13458,30.817115,66.386481,0.040683,0.040683,0.040683,84.8109,84.810936,84.810916,84.8109,84.810936,84.810916
0.628703,3290620.0,0.124075,1214420.0,-3.170577045022194e-08,-3.170577045022194e-08,2216282850.1669655,10.1321,32.034311,34.542301,6.49192,20.964131,22.236036,0.072024,0.071803,0.071984,14.6344,14.613416,14.632311,14.6344,14.613417,14.632311
0.177843,322611.0,0.138087,33359300.0,-3.170577045022194e-08,-3.170577045022194e-08,2275514964.4881344,3.87447,21.016594,22.181284,0.834123,7.699755,58.82519,0.073832,0.073804,0.073875,16.7717,16.771342,16.779351,16.7717,16.771342,16.779351
0.720159,161373.0,0.126389,5208150.0,-3.170577045022194e-08,-3.170577045022194e-08,2588662482.5288997,0.927628,37.461911,67.345266,3.25047,26.105597,65.938964,0.19758,0.197575,0.197586,69.1545,69.157428,69.156541,69.1545,69.157428,69.156541
0.356612,189238.0,0.160798,11727900.0,-3.170577045022194e-08,-3.170577045022194e-08,1171040925.5257921,2.86378,15.18212,17.380551,6.52742,7.560734,48.740299,0.289429,0.287771,0.289883,17.4329,17.380348,17.471557,11.621933,11.586899,11.647705
0.528416,2756270.0,0.393114,78100.3,-3.170577045022194e-08,2693549461.0019026,2729016600.781783,5.23542,45.874323,72.08121,1.60957,48.546925,48.544209,0.116356,0.116331,0.116365,48.5419,48.544209,48.546925,48.5419,48.544209,48.546925
0.68068,626725.0,0.537778,376493.0,-3.170577045022194e-08,-3.170577045022194e-08,2091137565.88542,2.00791,34.861614,71.702813,4.49845,38.552211,81.792405,0.12418,0.124181,0.124181,93.9413,93.942583,93.941758,93.9413,93.942583,93.941758
0.950978,21128.8,0.509418,476960.0,502241280.9131262,1586213696.8928344,2923717005.114073,1.6288,38.358258,38.1916,8.70332,38.358258,38.1916,0.169488,0.1577,0.166268,38.3377,38.1916,38.358258,38.3377,38.1916,38.358258
0.166255,21392300.0,0.157633,38875.4,-3.170577045022194e-08,1091063094.483196,4296119931.964395,1.72991,43.771666,61.939435,6.02955,20.45165,20.444159,0.16014,0.159871,0.160157,20.4209,20.444159,20.45165,20.4209,20.444159,20.45165
0.832631,900721.0,0.228018,30089.8,-3.170577045022194e-08,5327498414.711477,1086066591.3010173,5.96137,21.411198,59.10832,5.2859,7.929334,82.854941,0.009344,0.009344,0.009344,82.8532,82.854941,82.853767,82.8532,82.854941,82.853767
0.813343,1930460.0,0.149795,19840700.0,75996512.36525047,324494292.96131897,3006555635.6971793,11.4353,2.334779,27.047176,2.9921,2.334779,27.047176,0.210074,0.0,0.000362,3.76213,27.047174,2.334777,3.76213,27.047176,2.334779
0.624189,33968100.0,0.100069,10940800.0,-3.170577045022194e-08,-3.170577045022194e-08,3171560256.745819,2.84704,21.614051,21.043754,3.16901,8.695262,8.656294,0.275389,0.271508,0.274145,5.73438,5.657952,5.712171,3.82292,3.771968,3.808114
0.10129,119809.0,0.100621,12502.8,-3.170577045022194e-08,-3.170577045022194e-08,3737947100.9140577,2.51291,37.036359,66.365092,1.07163,30.689587,66.689981,0.247701,0.247703,0.247703,96.4438,96.444815,96.44463,64.295867,64.296543,64.29642
0.447562,45234300.0,0.385028,10919500.0,-3.170577045022194e-08,-3.170577045022194e-08,4948700148.720757,0.946973,51.64169,58.966369,3.42503,40.371995,41.652434,0.143529,0.143496,0.143511,16.8175,16.81548,16.816571,16.8175,16.81548,16.816571
0.955276,7450360.0,0.586013,69589700.0,-3.170577045022194e-08,-3.170577045022194e-08,2838474412.577941,3.41324,31.018716,51.891222,10.5761,47.998315,77.209093,0.153091,0.153092,0.153091,78.7367,78.737172,78.736853,78.7367,78.737172,78.736853
0.338917,526271.0,0.215007,60382800.0,-3.170577045022194e-08,-3.170577045022194e-08,6519373696.516056,8.24843,45.865255,46.216134,1.11777,60.673488,63.87371,0.006444,0.006443,0.006443,30.4445,30.443156,30.443432,30.4445,30.443156,30.443432
0.609294,134331.0,0.506758,121498.0,-3.170577045022194e-08,-3.170577045022194e-08,6407072979.934718,2.17136,57.1511,57.149839,0.815933,57.151121,57.149874,0.231315,0.231213,0.23123,57.1506,57.152087,57.153284,38.1004,38.101391,38.10219
0.287864,4946040.0,0.287845,30056.9,-3.170577045022194e-08,482135700.69752693,1790504842.4148793,1.94657,19.264851,35.162241,2.18273,16.123689,16.00598,0.202251,0.193366,0.202612,15.9557,16.00598,16.123688,15.9557,16.00598,16.123689
0.762487,182439.0,0.238361,8740650.0,1394413760.3043754,-3.170577045022194e-08,6684230728.630813,2.17338,32.502125,32.500694,4.82117,62.704053,64.439744,0.106323,0.105898,0.105926,32.5109,32.500694,32.502125,32.5109,32.500694,32.502125
0.728241,38256900.0,0.4857,113081.0,-3.170577045022194e-08,-3.170577045022194e-08,2200620390.802803,1.20272,33.337135,64.398842,1.38809,35.5575,84.360586,0.204388,0.204387,0.20439,88.0726,88.074154,88.07353,88.0726,88.074154,88.07353
0.804581,26576900.0,0.696456,120260.0,-3.170577045022194e-08,64767818.642993025,4530382435.865503,2.25849,31.911716,31.702635,13.8875,13.730985,13.6199,0.288241,0.284767,0.286262,20.8329,20.429849,20.596477,13.8886,13.6199,13.730985
0.442348,70161300.0,0.428361,66543000.0,-3.170577045022194e-08,-3.170577045022194e-08,4297380144.077703,3.13845,55.045676,73.153396,2.63887,53.955711,72.105133,0.222642,0.222642,0.222642,63.3063,63.306304,63.306309,63.3063,63.306304,63.306309
0.766388,4258650.0,0.200627,40484500.0,-3.170577045022194e-08,-3.170577045022194e-08,5415179693.644726,1.74328,53.825549,61.711231,6.10724,58.477893,68.494894,0.246731,0.246731,0.246731,91.9519,91.952054,91.952019,61.301267,61.30137,61.301346
0.189816,11563600.0,0.11446,799071.0,-3.170577045022194e-08,-3.170577045022194e-08,6181672408.885942,6.72027,62.428315,67.684,1.32273,56.878851,62.411171,0.271869,0.271869,0.271869,58.8387,58.838778,58.838784,39.2258,39.225852,39.225856
