Pri_dMass,Pri_dTidaLQ,Sec_dMass,Sec_dTidalQ,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb,Initial_Peq,Final_Peq,Age_Peq
0.829327,1729410.0,0.712893,3873230.0,-3.170577045022194e-08,-3.170577045022194e-08,5139274184.290028,3.41997,52.062594,62.13826,4.48364,57.83062,67.25148,0.192204,0.192201,0.192205,65.6977,65.699153,65.69914,65.6977,65.699153,65.69914
0.427672,1287320.0,0.303319,24687.2,-3.170577045022194e-08,-3.170577045022194e-08,6583791453.329391,14.2212,65.670009,67.264773,11.0279,47.065277,47.064709,0.238556,0.238429,0.238443,47.0627,47.066378,47.067044,31.375133,31.377585,31.378029
0.686116,3863360.0,0.111889,408986.0,-3.170577045022194e-08,-3.170577045022194e-08,2783156119.8123894,1.0049,39.972089,67.575894,3.47751,27.415409,67.016394,0.097238,0.097238,0.097238,83.5194,83.519494,83.519448,83.5194,83.519494,83.519448
0.152974,17528.3,0.101123,5298230.0,-3.170577045022194e-08,-3.170577045022194e-08,5475487183.8167095,1.09366,20.332808,20.326666,10.619,54.383273,60.088912,0.26588,0.265391,0.265942,20.2497,20.335081,20.347308,13.4998,13.556723,13.564872
0.656405,194372.0,0.594819,175286.0,1927847.17818643,1770575.4597336715,3356420206.2236238,6.42628,4.361097,3.976422,11.0398,4.361097,3.976422,0.268545,0.0,0.0,5.17364,3.976421,4.361094,3.449093,3.976422,4.361097
0.50749,6974510.0,0.211977,193977.0,-3.170577045022194e-08,1954631578.9473684,6500904527.809825,14.2779,63.588198,64.977462,2.74912,25.471457,25.470841,0.190493,0.190433,0.190443,25.4707,25.470841,25.471457,25.4707,25.470841,25.471457
0.267392,572819.0,0.224357,417380.0,-3.170577045022194e-08,-3.170577045022194e-08,2865167379.2377863,10.3075,41.057594,72.100535,7.54387,38.580918,69.840545,0.179593,0.179593,0.179593,99.88,99.880134,99.880078,99.88,99.880134,99.880078
0.142668,14161.4,0.126218,227546.0,-3.170577045022194e-08,-3.170577045022194e-08,3999691892.2468443,3.43473,43.094665,49.336436,1.6165,39.813617,58.690431,0.272011,0.272013,0.272041,49.3309,49.338177,49.339955,32.887267,32.892118,32.893304
0.105968,539755.0,0.101188,5686590.0,1612734622.7013316,-3.170577045022194e-08,2154695458.8339243,1.2983,6.990254,6.961016,1.10613,4.224286,20.234367,0.21587,0.216394,0.218458,6.9003,6.961016,6.990254,6.9003,6.961016,6.990254
0.799692,36448.6,0.220644,24187.4,3305538998.097654,3152494292.961319,4575902524.712713,2.04808,61.4625,61.45657,7.13347,61.4625,61.45657,0.168957,0.168791,0.16891,61.4421,61.45657,61.4625,61.4421,61.45657,61.4625
0.244886,9970630.0,0.199996,130088.0,-3.170577045022194e-08,940667406.4679772,1334599010.5877743,14.1411,22.80409,52.777509,5.41971,15.981211,15.961556,0.054865,0.054668,0.054978,15.9553,15.961556,15.981211,15.9553,15.961556,15.981211
0.338621,3766740.0,0.142436,2121910.0,-3.170577045022194e-08,-3.170577045022194e-08,1810938180.988472,3.09887,25.197369,67.312934,1.82345,6.787009,58.381159,0.293473,0.293471,0.293475,35.6101,35.610006,35.610498,23.740067,23.740004,23.740332
0.80321,96309.4,0.626204,4611990.0,6912815472.415979,-3.170577045022194e-08,6610282251.999026,8.69158,90.982943,97.563197,3.54516,72.161966,74.291163,0.131309,0.13131,0.131312,97.5569,97.563197,97.563039,97.5569,97.563197,97.563039
0.804834,15411.3,0.179202,103522.0,23514686.11287254,173366550.41217503,2813082877.8530254,7.25604,14.140047,13.988242,3.99365,14.140047,13.988242,0.058401,0.006651,0.027111,14.029,13.988242,14.140034,14.029,13.988242,14.140047
0.18641,3599350.0,0.179314,48922.5,-3.170577045022194e-08,-3.170577045022194e-08,3126276034.142086,1.33644,31.549575,63.536985,13.4644,43.704835,76.684975,0.105383,0.105383,0.105384,75.9071,75.907853,75.907661,75.9071,75.907853,75.907661
0.895991,414052.0,0.497124,19529.6,-3.170577045022194e-08,-3.170577045022194e-08,2624593797.267238,1.48876,35.270255,42.62983,2.12376,34.993244,38.105973,0.249529,0.247939,0.249311,42.6461,42.631143,42.678375,28.430733,28.420762,28.45225
0.66472,88430.7,0.204613,324750.0,2029793595.434369,-3.170577045022194e-08,3714884792.329312,2.80576,44.627996,44.619559,5.57452,45.955241,50.949359,0.091339,0.091229,0.091308,44.6215,44.619558,44.627996,44.6215,44.619559,44.627996
0.459929,12470.0,0.205874,62360.7,2464650919.467343,4346594800.253646,1353942619.6913917,6.28119,29.76376,63.440917,6.89286,16.44206,63.440917,0.063835,0.063801,0.063847,63.432,63.440917,63.440251,63.432,63.440917,63.440251
0.666964,434096.0,0.323187,1070330.0,-3.170577045022194e-08,-3.170577045022194e-08,4770069870.12961,4.63308,58.768262,72.949594,3.15108,55.238659,70.840727,0.056576,0.056577,0.056577,95.6865,95.687268,95.687034,95.6865,95.687268,95.687034
0.306679,342948.0,0.126556,1997610.0,-3.170577045022194e-08,-3.170577045022194e-08,6197064932.719722,11.5977,56.065012,57.66455,10.0884,61.005578,64.738319,0.055226,0.055222,0.055223,35.4991,35.498592,35.498893,35.4991,35.498592,35.498893
0.934144,14035.4,0.404198,10705.4,206352409.63855422,649610336.0811667,1207803525.3130512,8.12151,31.094316,30.934758,2.65267,31.094316,30.934758,0.093574,0.073038,0.091679,30.9509,30.934758,31.094316,30.9509,30.934758,31.094316
0.189334,1864020.0,0.169259,38902.7,-3.170577045022194e-08,-3.170577045022194e-08,5287378698.514724,13.4876,58.932725,69.61807,7.4417,62.013911,77.955664,0.106325,0.106326,0.106326,79.3489,79.349751,79.349656,79.3489,79.349751,79.349656
0.604186,15148.8,0.427321,69769.6,2448474952.4413443,4418883956.880152,3397784457.0618577,1.06674,75.33992,75.335273,13.8136,60.275027,75.335273,0.146463,0.146364,0.146463,75.3235,75.335273,75.33992,75.3235,75.335273,75.33992
0.662822,336741.0,0.629319,30342.1,2970820545.3392515,1346749207.3557386,4314592076.020844,2.8786,55.869844,55.867283,2.44085,55.869844,55.867283,0.000873,0.000871,0.000872,55.8556,55.867283,55.869844,55.8556,55.867283,55.869844
0.346206,2980660.0,0.292621,284451.0,-3.170577045022194e-08,-3.170577045022194e-08,6122883536.4046135,1.18873,62.504992,68.254145,7.62348,66.14994,70.87038,0.27831,0.27831,0.27831,70.2637,70.264054,70.264111,46.842467,46.842703,46.84274
0.86818,20475.6,0.480756,34839.7,2905682308.180089,4235786303.1071653,5720247436.108701,8.77354,89.470246,89.469888,1.89004,89.470246,89.469888,0.011311,0.011304,0.011307,89.4495,89.469888,89.470246,89.4495,89.469888,89.470246
0.907361,10973.4,0.838185,246753.0,1667324032.9740012,-3.170577045022194e-08,6324736550.260965,2.71827,86.238716,86.232258,1.72769,69.14834,73.236693,0.220237,0.219539,0.219655,86.2385,86.232158,86.238716,86.2385,86.232258,86.238716
0.941089,1396530.0,0.392181,6847500.0,-3.170577045022194e-08,-3.170577045022194e-08,3589460266.0348606,1.63596,36.064213,54.971123,7.83142,49.623135,72.919718,0.226916,0.226921,0.226919,80.2155,80.217652,80.216496,80.2155,80.217652,80.216496
0.952431,67365.9,0.219212,223098.0,291708370.3233989,1055360811.6677235,2864179814.110591,2.25073,16.332601,16.061249,3.64302,16.332601,16.061249,0.139366,0.076238,0.118348,16.3256,16.061249,16.3326,16.3256,16.061249,16.332601
0.294065,60737.9,0.215431,288099.0,-3.170577045022194e-08,-3.170577045022194e-08,3200874593.9197903,2.99486,40.928251,74.984022,4.94948,39.983416,69.176436,0.047144,0.047145,0.047145,89.9914,89.992317,89.991909,89.9914,89.992317,89.991909
0.418033,25283.2,0.405571,1722530.0,1620079264.4261255,-3.170577045022194e-08,2250746343.5770483,3.5463,39.076547,39.055168,12.9991,39.282504,59.991311,0.222779,0.222178,0.222787,39.0523,39.055168,39.076547,39.0523,39.055168,39.076547
0.883721,27299.9,0.609754,1520910.0,744081800.8877616,-3.170577045022194e-08,5398716876.044626,0.989159,33.069122,33.038768,1.7363,52.147219,52.790553,0.268505,0.268052,0.268263,49.655,49.558152,49.603683,33.103333,33.038768,33.069122
0.206691,55228.0,0.172417,83289.3,-3.170577045022194e-08,-3.170577045022194e-08,3193774443.9452744,1.5863,34.912329,67.761209,3.27234,36.9607,68.590724,0.236266,0.236268,0.236267,98.1512,98.15209,98.151778,65.434133,65.434727,65.434519
0.481329,91765.7,0.447665,107663.0,989686746.9879518,1801006658.2117946,3645271883.6762033,13.0109,33.708392,33.689569,1.12462,33.708392,33.689569,0.181865,0.18116,0.181634,33.6974,33.689569,33.708392,33.6974,33.689569,33.708392
0.785096,2230190.0,0.696003,4976000.0,-3.170577045022194e-08,-3.170577045022194e-08,1486393289.9099348,6.65458,21.950174,21.90151,1.18446,23.243768,24.106878,0.246337,0.245233,0.246251,21.9479,21.90182,21.950364,14.631933,14.601213,14.633576
0.30391,175640.0,0.135155,699873.0,-3.170577045022194e-08,-3.170577045022194e-08,6612905425.162125,0.840363,26.346984,26.395745,5.35013,35.509328,35.532652,0.294898,0.29475,0.294772,25.2732,25.265317,25.267283,16.8488,16.843544,16.844855
0.110554,123159.0,0.102065,1885880.0,-3.170577045022194e-08,-3.170577045022194e-08,6215986131.484419,10.8103,66.301524,71.653697,4.14792,62.256413,67.715009,0.068309,0.06831,0.06831,76.3703,76.370447,76.37044,76.3703,76.370447,76.37044
0.698055,21790.8,0.301834,16247.9,2143829740.0126822,2087543753.9632213,1998706765.6050568,1.26379,53.067267,62.802423,12.4793,56.248726,62.802423,0.022954,0.022919,0.022963,62.7829,62.802423,62.805185,62.7829,62.802423,62.805184
0.624673,7112090.0,0.183301,426189.0,-3.170577045022194e-08,-3.170577045022194e-08,1359492809.465127,1.71723,26.342775,72.361702,3.67282,7.438324,58.688079,0.13507,0.135069,0.135071,49.0314,49.031518,49.031663,49.0314,49.031518,49.031663
0.238698,1063760.0,0.108072,57224.5,-3.170577045022194e-08,-3.170577045022194e-08,1110105878.628296,3.36824,5.559519,67.965659,1.30659,0.73542,66.438942,0.170193,0.170194,0.170194,71.3376,71.338082,71.337916,71.3376,71.338082,71.337916
0.431583,388650.0,0.375646,391006.0,-3.170577045022194e-08,-3.170577045022194e-08,1698146688.8079934,4.53306,29.71242,72.098403,4.87474,27.592918,71.260092,0.17363,0.173628,0.173632,67.8533,67.85406,67.853896,67.8533,67.85406,67.853896
0.986454,107177.0,0.222827,636099.0,-3.170577045022194e-08,-3.170577045022194e-08,4063774013.54728,3.206,39.766859,69.827301,9.67153,50.332558,71.227853,0.134124,0.134136,0.134142,82.9002,82.916003,82.908696,82.9002,82.916003,82.908696
0.438347,2102980.0,0.347799,2781830.0,-3.170577045022194e-08,-3.170577045022194e-08,4700121475.7513485,6.017,59.341813,74.398884,0.934857,51.589583,67.948201,0.140458,0.140458,0.140458,92.2648,92.264886,92.264869,92.2648,92.264886,92.264869
0.516656,852413.0,0.183459,121912.0,-3.170577045022194e-08,5351686746.987952,6235629451.290048,3.50414,71.388475,75.420392,5.08825,63.477872,63.477748,0.117775,0.117774,0.117775,63.4772,63.477748,63.477872,63.4772,63.477748,63.477872
0.197197,7153250.0,0.170869,56268.9,-3.170577045022194e-08,3185719720.98922,4468377716.8950405,11.7078,53.428224,69.267103,3.80868,45.00112,45.000416,0.042155,0.042154,0.042156,44.999,45.000416,45.00112,44.999,45.000416,45.00112
0.707025,33861.3,0.398369,576248.0,-3.170577045022194e-08,-3.170577045022194e-08,6381365099.740359,0.832343,86.828614,93.015619,7.53008,70.299128,74.20731,0.208152,0.208148,0.208153,99.0101,99.019021,99.019059,99.0101,99.019021,99.019059
0.399219,29081.7,0.360102,670978.0,5098690551.680406,-3.170577045022194e-08,1714487624.6137135,1.18173,21.511271,79.83022,1.08706,17.994921,69.679092,0.018434,0.018434,0.018434,79.8266,79.830219,79.828275,79.8266,79.83022,79.828275
0.160836,424168.0,0.137465,635730.0,-3.170577045022194e-08,-3.170577045022194e-08,4319938630.672409,7.88752,51.081613,66.99208,1.18198,42.126314,62.278067,0.031055,0.031055,0.031055,51.7873,51.787544,51.787613,51.7873,51.787544,51.787613
