Pri_dMass,Pri_dTidaLQ,Sec_dMass,Sec_dTidalQ,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb,Initial_Peq,Final_Peq,Age_Peq
0.64789,7160300.0,0.381652,8446390.0,-3.170577045022194e-08,-3.170577045022194e-08,3247776639.668034,13.719,49.781853,71.884434,7.89622,46.498018,71.862159,0.105538,0.105537,0.105538,53.2522,53.252192,53.252368,53.2522,53.252192,53.252368
0.371081,8128620.0,0.267756,803349.0,-3.170577045022194e-08,-3.170577045022194e-08,6793361528.018718,13.3351,72.335757,73.532115,9.65538,70.413671,71.991753,0.242638,0.242638,0.242638,92.3964,92.396478,92.396478,61.5976,61.597652,61.597652
0.492129,2392490.0,0.29224,9113860.0,-3.170577045022194e-08,-3.170577045022194e-08,3722231315.9743104,1.1575,27.912568,27.888076,9.65624,38.132913,40.884698,0.29115,0.290832,0.291049,18.4504,18.432006,18.44594,12.300267,12.288004,12.297293
0.443838,6763210.0,0.203839,4375280.0,-3.170577045022194e-08,-3.170577045022194e-08,6813211623.968997,13.9341,74.74588,75.892087,4.43353,66.279136,67.743662,0.066998,0.066998,0.066998,94.5373,94.537319,94.537318,94.5373,94.537319,94.537318
0.883711,3177340.0,0.170449,5254590.0,-3.170577045022194e-08,-3.170577045022194e-08,2897979672.6025276,1.39461,33.740398,54.48845,10.8101,39.266601,69.804454,0.076446,0.076446,0.076446,87.6472,87.647416,87.64728,87.6472,87.647416,87.64728
0.97772,281465.0,0.867,753550.0,3083243817.374762,4650513633.481294,1966101294.3670464,1.29755,31.730064,60.655148,0.958147,29.148125,60.655148,0.12899,0.128894,0.129015,60.6453,60.655148,60.654305,60.6453,60.655148,60.654305
0.130597,8544970.0,0.114855,759232.0,-3.170577045022194e-08,-3.170577045022194e-08,6307988417.7085705,0.850008,56.770792,61.568974,0.911158,56.55104,61.632338,0.054897,0.054897,0.054897,68.8824,68.882438,68.882436,68.8824,68.882438,68.882436
0.199948,6543530.0,0.167666,1636510.0,-3.170577045022194e-08,-3.170577045022194e-08,6357479115.124853,2.89963,59.581682,62.968402,1.57991,50.776216,53.076758,0.233429,0.233428,0.233429,28.0502,28.050351,28.050435,18.700133,18.700234,18.70029
0.393508,1766890.0,0.383436,5158900.0,-3.170577045022194e-08,-3.170577045022194e-08,6155571785.025608,3.41262,66.267036,71.559651,2.46291,65.139407,70.459156,0.183112,0.183112,0.183112,84.8826,84.882694,84.882693,84.8826,84.882694,84.882693
0.342213,9213880.0,0.22594,6940530.0,-3.170577045022194e-08,-3.170577045022194e-08,6481388485.933837,5.52072,48.989358,49.668879,2.68036,42.245973,42.716379,0.123626,0.123604,0.123607,16.6745,16.673215,16.673459,16.6745,16.673215,16.673459
