Pri_dMass,Pri_dTidalTau,Sec_dMass,Sec_dTidalTau,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb
0.429814,0.5872842620000001,0.329631,0.001011916744,449955611.9213697,1069468294.2295498,4869596679.032715,10.2088,16.292506,16.269111,6.87805,16.292506,16.269111,0.131185,0.13047,0.130795,18.0003,17.934204,17.968343
0.153557,0.0397145372,0.144697,0.00275208578,-3.170577045022194e-08,-3.170577045022194e-08,2568181359.8022146,1.76283,23.802134,64.408713,0.943607,16.875331,62.284919,0.239856,0.239857,0.239857,90.6863,90.686452,90.686451
0.25993,0.771064688,0.229744,0.01663148356,6691315789.473684,6959124920.735574,5248110649.694425,5.22435,58.519615,68.65743,4.86381,56.987972,68.65743,0.026815,0.026817,0.026817,68.9522,68.953684,68.953759
0.543164,0.00361297008,0.121418,0.0165638618,4495256816.740646,6826429930.247305,6696188494.64866,9.99412,62.106258,62.105798,1.27028,60.648961,62.105798,0.114917,0.114917,0.114917,67.0379,67.033895,67.034392
0.977943,0.68643656,0.638257,0.021785750359999998,-3.170577045022194e-08,4721207989.854154,4046675349.38569,4.47944,40.943557,57.530936,7.4598,55.378259,60.634358,0.226317,0.226352,0.226357,79.4857,79.497874,79.498075
0.158347,0.12489808459999999,0.152098,0.1319876458,2682127774.2549143,2607824984.1471148,4607661380.345686,1.57487,25.749095,25.744501,1.95977,25.749095,25.744501,0.229927,0.230114,0.230115,34.0175,34.027761,34.033917
0.869816,0.0017251402260000002,0.86863,0.00447139426,3608522511.0970197,3732958148.3830056,5438230593.669964,11.7577,40.287181,40.285295,3.18342,40.287181,40.285295,0.155679,0.15568,0.15568,46.1686,46.164303,46.166484
0.158966,0.729908142,0.141443,0.7536829939999999,2733612555.4850984,3071713062.7774253,2064834477.2687886,5.75977,25.914612,35.142287,3.05649,19.45977,35.142287,0.042303,0.042348,0.04235,35.502,35.520477,35.524524
0.681774,0.2172188186,0.256615,0.02455442618,3116021242.866202,3584232720.3551044,2450298827.461823,7.0678,40.254597,46.267728,7.09614,34.733426,46.267728,0.220163,0.220168,0.220171,59.8782,59.871628,59.880048
0.585264,0.1553726634,0.168101,0.0502820142,2259088142.0418515,2607929930.247305,1962260730.5316002,0.831536,32.952952,37.071343,12.2069,28.982918,37.071343,0.297567,0.297642,0.297645,57.3988,57.384408,57.412498
0.203296,0.01436952938,0.17088,0.06345753380000001,6857555485.098288,6376816740.646798,4944670861.651096,2.12615,51.876276,65.214174,8.20907,55.189642,65.214174,0.198798,0.198798,0.198798,80.7985,80.798482,80.798618
0.395255,0.1382786142,0.364133,0.1479913572,5338205453.392517,5572330374.128091,6548072032.277191,1.46891,59.674106,59.673792,1.0636,59.674106,59.673792,0.004385,0.004386,0.004386,59.6762,59.680679,59.680993
0.245735,0.07589375579999999,0.210386,0.33837373600000004,-3.170577045022194e-08,-3.170577045022194e-08,5374675415.419873,1.05832,53.861211,65.217084,5.79028,58.101269,68.49249,0.074966,0.074967,0.074967,74.3689,74.369934,74.369933
0.792003,0.0125961298,0.351671,0.0049261064399999995,2448883639.822448,2302477805.960685,4739257659.751484,0.891079,33.212953,33.207005,3.52429,33.212953,33.207005,0.290743,0.290759,0.29076,50.5456,50.52994,50.539077
0.497973,0.0035784022400000004,0.385694,0.4344635,3884971464.806595,4573040583.386176,5752002118.140779,12.7768,57.334105,57.333017,5.50883,57.334105,57.333017,0.036807,0.036809,0.036809,57.7995,57.799142,57.800241
0.832492,0.0663030726,0.288646,0.0030072475340000003,6781081166.772352,5047863031.071655,3920133920.329826,7.57141,43.137624,57.764428,4.37258,48.23763,57.764428,0.097736,0.097737,0.097737,61.0781,61.078236,61.078642
0.703263,0.001173653864,0.239441,0.037561932199999995,872398224.4768548,2111849080.532657,3890594624.6830926,5.3845,20.824262,20.790358,1.4037,20.824262,20.790358,0.238936,0.239038,0.23904,28.0999,28.020991,28.06683
0.821833,0.0399782116,0.305478,0.002465771968,6090000000.0,4359185161.6994295,6932155158.934934,7.40943,55.197153,55.197089,9.77233,55.197153,55.197089,0.113114,0.113115,0.113115,59.4412,59.440382,59.44045
0.257482,0.00204462781,0.196334,0.3001623952,6968040583.386176,-3.170577045022194e-08,3218161356.405371,1.849,37.345206,67.542873,1.47079,34.002806,64.340043,0.234171,0.234176,0.234176,90.0645,90.06599,90.065998
0.231363,0.2031718488,0.107369,0.438396538,6232625237.793279,-3.170577045022194e-08,4592941158.432994,3.32265,51.088384,63.241153,0.821117,40.086965,61.055009,0.080124,0.080133,0.080133,65.6751,65.679039,65.679312
0.953007,0.001384861474,0.332255,0.00143667854,-3.170577045022194e-08,-3.170577045022194e-08,4283044498.3333216,5.6601,38.747028,51.090208,8.25007,54.063701,72.336851,0.085115,0.085115,0.085115,79.5025,79.502513,79.502512
0.357671,0.2598873922,0.187457,0.22940177439999998,3301296766.011414,3768154724.159797,6059419857.198332,1.66174,41.946624,41.945286,2.50438,41.946624,41.945286,0.069497,0.069532,0.069532,43.155,43.162508,43.163891
0.958708,0.400554846,0.694821,0.002563246338,832556753.3291059,1398277425.4914393,4104394353.959849,8.74383,25.387257,25.383099,1.19333,25.387257,25.383099,0.07726,0.076576,0.077031,26.2678,26.276589,26.291551
0.521509,0.081849454,0.231921,0.836648964,4395294.863665187,234888.68103994927,3411834392.1490936,10.763,5.649345,5.491149,7.55591,5.649345,5.491149,0.181227,0.027066,0.069062,6.28074,5.515279,5.811076
0.366826,0.00845164764,0.167812,0.1847509118,1202220038.0469246,2064545022.1940393,6018919968.635818,7.38008,21.374798,21.367909,2.44518,21.374798,21.367909,0.221031,0.221245,0.221246,27.7435,27.713356,27.722374
0.643176,0.7667847099999999,0.444663,0.36068197799999996,5933864933.417882,6242844007.609385,6492810397.613007,11.8878,69.626127,69.625847,2.98722,69.626127,69.625847,0.14079,0.140798,0.140798,77.9262,77.929079,77.929416
0.796197,0.0245504206,0.474463,0.0712759844,-3.170577045022194e-08,5214559289.790742,1352397826.6787822,0.865997,22.175967,59.117833,1.78079,21.529407,62.965021,0.193214,0.19322,0.19322,77.1682,77.169433,77.169869
0.519804,0.0033776816800000003,0.314127,0.00729337268,722801204.8192772,1791037095.7514267,2407053506.704524,5.46137,15.878597,15.799457,0.932565,15.878597,15.799457,0.204949,0.205094,0.205106,19.9406,19.821367,19.921136
0.979237,0.007721969739999999,0.700374,0.0411120746,1176720989.220038,843010462.9042486,1438315331.7914062,6.64941,19.734408,19.697176,2.32567,19.734408,19.697176,0.058195,0.058197,0.058316,20.1118,20.097555,20.13718
0.819963,0.001512150606,0.175499,0.002056666628,831662333.5447052,1245123652.504756,6590797618.612879,1.76846,16.298125,16.288495,11.1554,16.298125,16.288495,0.040633,0.040635,0.040635,16.5911,16.449883,16.459611
0.944089,0.005938130420000001,0.176029,0.073371502,4603354470.513634,3051155675.3329105,6423505597.630532,3.36739,40.974056,40.972405,10.3634,40.974056,40.972405,0.252818,0.252819,0.252819,56.9686,56.960614,56.962912
0.422179,0.70777337,0.30397,0.01551733306,3138501902.346227,2926760621.4331007,4976819607.3635845,0.815497,41.186325,41.183345,6.43221,41.186325,41.183345,0.165657,0.165966,0.165968,47.9664,48.019204,48.022888
0.759112,0.0447476904,0.264751,0.00325369794,2411422954.977806,2832505072.923272,1009965418.2966434,7.60671,22.37482,36.657055,3.58972,5.444487,36.657055,0.171072,0.171073,0.171077,43.138,43.124681,43.138868
0.421817,0.1435057384,0.189872,0.2788833034,5611968928.344959,6401544071.0209255,4309747622.237041,4.31773,54.917915,64.725699,7.28504,49.97987,64.725699,0.232519,0.232521,0.232521,85.9991,85.998695,85.999778
0.301282,0.00773461728,0.137197,0.013349336540000001,2413380469.245403,3513062777.4254913,1456204477.5573153,10.7854,25.208393,37.75531,2.56858,4.343312,37.75531,0.255646,0.255647,0.255647,52.8392,52.829678,52.839415
0.579827,0.398984154,0.230522,0.009475593740000001,2768666772.352568,4326727964.489537,3156702180.0055637,3.39675,46.024337,46.0171,1.27893,33.895108,46.0171,0.101821,0.10184,0.101843,48.8853,48.883635,48.891489
0.718015,0.00686423944,0.530333,0.0386992646,1074503170.577045,1231075142.675967,3500660534.6462293,2.72183,22.287085,22.260058,1.44276,22.287085,22.260058,0.062414,0.062504,0.062517,22.8047,22.781999,22.809879
0.320024,0.0557699742,0.182747,0.001343093052,1961733354.4705136,2225499048.8268867,3973341415.815466,3.60695,27.859041,27.850273,5.21846,27.859041,27.850273,0.276842,0.276859,0.276859,40.9844,40.965645,40.97862
0.642352,0.068612116,0.138954,0.001260029308,-3.170577045022194e-08,-3.170577045022194e-08,6534865406.073026,2.61211,69.652965,72.19445,2.37746,62.029188,64.982659,0.06751,0.067511,0.067511,77.4912,77.491456,77.491456
0.589682,0.38899859,0.311666,0.004633068299999999,4363785668.991756,4839480025.364616,2836580957.3335524,1.53927,44.804,58.44917,8.03553,40.946884,58.44917,0.014025,0.014028,0.014028,58.5124,58.518181,58.520668
0.197339,0.0156428938,0.158988,0.009302218360000001,4732777425.49144,5175383639.822448,3824458724.5293446,2.06043,41.663076,50.238395,1.03643,37.126122,50.238395,0.265939,0.26594,0.26594,72.0022,72.001111,72.002476
0.900151,0.0722357466,0.254423,0.23152189320000002,886176601.1414077,1285985098.2878883,5079629746.161768,1.42767,17.361676,17.3347,0.849695,17.361676,17.3347,0.034256,0.034781,0.034879,17.316,17.460532,17.488411
0.771293,0.23408451819999998,0.628423,0.48126570599999996,1731718452.758402,1301859860.49461,3729266698.112009,13.7239,33.172507,33.165355,8.83509,33.172507,33.165355,0.11542,0.115381,0.115443,35.8195,35.818364,35.828951
0.478979,0.0020448738219999998,0.150573,0.0051653058,1375242866.2016487,2930365250.4755864,3558134452.7369146,3.00005,25.003993,24.973399,0.953911,25.003993,24.973399,0.025884,0.025887,0.025887,25.1218,25.073814,25.104531
0.644323,0.235854543,0.389499,0.2404082882,4057488.9029803425,2094581.483830057,1369066626.2571247,14.7246,6.722035,7.167557,14.9085,6.722035,7.167557,0.247851,0.075767,0.19864,8.72995,7.414549,8.325811
0.598809,0.034834983800000004,0.349485,0.0051277732,4462549143.944198,5109911223.842739,3727169511.9782653,4.56981,53.863815,59.987212,6.08653,48.93564,59.987212,0.20464,0.204641,0.204641,75.1915,75.189167,75.191716
