Pri_dMass,Pri_dTidalTau,Sec_dMass,Sec_dTidalTau,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb,Initial_Peq,Final_Peq,Age_Peq
0.244109,0.39495018800000004,0.215026,3.033189184,-3.170577045022194e-08,181679137.60304376,6461715209.093308,2.09151,18.34917,18.389437,0.954019,13.195976,13.191493,0.007778,0.007894,0.007922,12.7106,13.196424,13.200945,12.705988,13.191493,13.195976
0.306302,0.40136227,0.244872,0.747961638,-3.170577045022194e-08,-3.170577045022194e-08,6761808500.221827,2.44945,65.71911,67.210955,1.12425,60.995037,62.375437,0.250946,0.251227,0.251227,52.0105,52.057708,52.057748,37.571952,37.582004,37.581998
0.741302,0.708952966,0.394921,0.0635565694,-3.170577045022194e-08,-3.170577045022194e-08,1504779620.1773236,11.1754,29.441998,66.511746,11.7208,29.359742,73.699047,0.049685,0.049686,0.049686,84.3823,84.383914,84.383432,83.150511,83.152046,83.151574
0.280649,0.0199481038,0.121829,0.1680889606,-3.170577045022194e-08,-3.170577045022194e-08,4236670437.808963,1.09016,38.449871,42.16068,1.02218,21.012255,21.009561,0.175128,0.178616,0.178749,13.6162,13.808625,13.812578,11.490777,11.579806,11.580323
0.547353,0.0133764294,0.382843,0.16315295059999999,-3.170577045022194e-08,-3.170577045022194e-08,1796656788.4795651,7.18794,36.054919,77.209256,5.39472,29.777239,70.699078,0.185191,0.185198,0.185199,53.3844,53.386,53.386084,44.227358,44.22811,44.228075
0.465797,3.66444336,0.329513,2.42531561,-3.170577045022194e-08,-3.170577045022194e-08,5808999896.927833,1.11496,67.800204,75.356522,7.22241,66.56641,74.096046,0.08233,0.082417,0.082418,75.2305,75.27757,75.277574,72.288831,72.328073,72.328042
0.473812,8.37374384,0.389126,1.773358578,96324.28662016487,3103822.4476854787,1908925701.6569679,3.70246,6.33138,6.090553,1.33463,6.33138,6.090553,0.226262,0.0,3.763941e-07,6.68877,6.090553,6.33138,5.102617,6.090553,6.33138
0.333277,0.0847855126,0.215208,1.292143336,-3.170577045022194e-08,-3.170577045022194e-08,4240174340.4829435,3.14416,50.959174,69.451956,0.91552,44.106827,56.958407,0.206202,0.206763,0.206767,45.1704,45.259079,45.259443,35.924867,35.95473,35.954678
0.106651,0.02663493074,0.105745,0.880275092,-3.170577045022194e-08,-3.170577045022194e-08,3829833926.6048,1.35643,34.108799,62.862735,2.31024,37.805132,65.120578,0.007573,0.007574,0.007574,63.6261,63.628796,63.628793,63.604211,63.606903,63.6069
0.478488,3.40565766,0.445454,0.024159261520000003,-3.170577045022194e-08,-3.170577045022194e-08,3515694773.687108,7.87506,22.858018,22.878905,9.85294,48.459188,60.772907,0.276889,0.275317,0.276631,29.5446,29.542654,29.595207,20.084267,20.15898,20.13114
0.878455,0.01021318818,0.427958,2.001522092,-3.170577045022194e-08,-3.170577045022194e-08,1299689931.4846683,3.3787,22.093962,55.017527,7.59386,27.078721,75.020158,0.024657,0.02466,0.024661,63.4593,63.464977,63.464681,63.228643,63.23424,63.233938
