Pri_dMass,Pri_dTidalTau,Sec_dMass,Sec_dTidalTau,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb,Initial_Peq,Final_Peq,Age_Peq
0.905366,0.384860542,0.243336,5.98152946,-3.170577045022194e-08,-3.170577045022194e-08,2379274277.7123785,14.1682,26.40296,46.968018,4.39659,31.818922,53.940567,0.074121,0.074211,0.07422,49.1851,49.226317,49.224925,47.614838,47.651035,47.649328
0.170872,0.01158546204,0.141309,0.021777266099999998,-3.170577045022194e-08,-3.170577045022194e-08,2580820511.655594,5.3198,19.889724,28.750348,0.819275,6.372769,23.297647,0.011301,0.011541,0.011554,9.7261,9.847061,9.849847,9.718653,9.839198,9.841963
0.847392,1.099695718,0.637164,0.963660544,61430183.89346861,97702853.51934052,2214248905.7334146,12.3887,12.073982,12.203747,10.2212,12.073982,12.203747,0.099062,0.028344,0.069463,12.4938,12.262577,12.423664,11.798448,12.203747,12.073982
0.459476,0.174689021,0.29712,4.52712544,-3.170577045022194e-08,-3.170577045022194e-08,5926587119.387475,9.27358,46.352067,47.716095,10.7306,28.707515,28.767435,0.120494,0.120444,0.120498,28.7958,28.832868,28.83456,26.484825,26.520681,26.520341
0.296289,0.1359582164,0.284779,0.446190072,-3.170577045022194e-08,-3.170577045022194e-08,1165911885.0687888,1.92475,1.850064,52.214288,6.05471,5.807039,54.077758,0.087493,0.087545,0.087545,39.6741,39.688647,39.687878,37.930735,37.942676,37.941942
0.70822,0.02804202476,0.619382,5.58412546,-3.170577045022194e-08,33648.70006341154,4551670626.96972,1.11712,4.990332,4.773248,2.63747,4.803334,4.621472,0.200838,0.0,0.0,5.12611,4.62147,4.803334,4.120785,4.621472,4.803334
0.987402,0.0447429594,0.698361,1.17945407,-3.170577045022194e-08,-3.170577045022194e-08,5758788565.758823,1.92297,36.76235,42.14533,12.2665,50.799082,50.911729,0.029152,0.029158,0.029161,46.6029,46.6221,46.622283,46.366467,46.385466,46.385596
0.796976,0.034515799,0.562234,0.637142694,-3.170577045022194e-08,-3.170577045022194e-08,4774555881.694356,2.66873,39.247112,47.825272,1.16112,45.693889,49.763163,0.284468,0.285038,0.285056,53.7401,53.837935,53.839537,35.86693,35.882183,35.881692
0.91915,1.479125072,0.215979,0.030145837380000002,-3.170577045022194e-08,-3.170577045022194e-08,4266580081.769465,1.4483,31.383126,31.075395,11.488,39.552273,53.833219,0.198022,0.200228,0.200767,34.9454,35.318136,35.338121,28.248186,28.425876,28.411671
0.817497,7.7061682000000005,0.497104,0.0804247922,-3.170577045022194e-08,-3.170577045022194e-08,4225040250.441466,3.24165,54.114683,68.836442,1.59988,42.448209,58.885927,0.197104,0.197352,0.197367,85.2692,85.354786,85.354664,69.051464,69.087339,69.085201
0.634449,3.17358634,0.243897,7.580828240000001,-3.170577045022194e-08,230953772.98668358,2259999545.4994183,8.41737,17.262479,17.37798,2.89382,15.965524,16.191777,0.268792,0.25506,0.266744,22.7689,22.626021,22.924981,15.780295,16.191777,15.965524
0.4942,6.6948381,0.200046,0.0752815644,-3.170577045022194e-08,-3.170577045022194e-08,2766645952.478967,7.28158,36.176592,63.850635,5.52617,23.229053,52.631382,0.119085,0.119099,0.119099,97.0089,97.016444,97.015843,89.390738,89.39605,89.395535
0.102028,1.7825051779999999,0.10001,0.1366410574,111422891.56626506,388600507.2923272,6993745707.54142,3.95135,5.480517,5.48078,1.08701,5.480517,5.48078,0.236109,0.124375,0.124431,6.16604,5.990397,5.990572,4.604549,5.48078,5.480517
0.621283,0.892206674,0.101835,0.720739464,-3.170577045022194e-08,448174698.79518074,4664674068.460522,0.807564,13.135912,13.067712,1.17174,9.688054,9.780149,0.262909,0.300816,0.312867,12.9786,15.26024,15.587224,9.120371,9.780149,9.688054
0.544835,6.033191980000001,0.170928,0.0581916154,-3.170577045022194e-08,-3.170577045022194e-08,6864428969.490411,6.09927,63.797857,64.591888,3.97912,49.944139,50.822679,0.089109,0.089128,0.089128,84.2936,84.305162,84.305151,80.457636,80.46714,80.467127
0.249743,0.0528383312,0.183549,2.2280297559999998,-3.170577045022194e-08,-3.170577045022194e-08,6380572533.330515,4.86522,50.098702,53.465504,13.5774,51.579514,54.617158,0.293346,0.293371,0.293371,65.6655,65.670857,65.670886,42.877979,42.87885,42.878839
0.638984,2.83136157,0.126662,2.64997503,-3.170577045022194e-08,-3.170577045022194e-08,5487379002.0410595,9.59511,53.217725,60.459861,2.96368,39.17624,49.022251,0.121109,0.121121,0.121121,89.5492,89.555356,89.555243,82.294775,82.299076,82.298964
0.930167,0.052203746399999994,0.12438,0.3152350458,-3.170577045022194e-08,-3.170577045022194e-08,5021581065.505027,3.39004,35.145962,42.650693,7.31816,40.187859,52.154633,0.116887,0.116891,0.116891,58.5064,58.507788,58.507736,54.067491,54.068504,54.068449
0.688721,5.168175939999999,0.109777,1.2768969000000001,63681293.59543437,160002.8535193405,6962653669.888318,3.8247,5.294142,5.286025,9.09369,5.294142,5.286025,0.08348,0.0,0.0,6.30335,5.286023,5.294141,6.050217,5.286025,5.294142
0.594792,5.18791998,0.151685,0.010621820419999999,493859.226379201,-3.170577045022194e-08,4662988382.612394,12.3676,5.99332,5.767527,1.56194,8.949017,8.182407,0.135533,0.0,0.0,6.51443,5.767525,5.993319,5.866361,5.767527,5.99332
0.482414,0.843745464,0.374398,5.76270494,-3.170577045022194e-08,-3.170577045022194e-08,2548966552.086727,1.47404,28.464172,53.657585,1.96927,32.28483,43.203968,0.289381,0.291221,0.291297,54.739,55.05825,55.064136,36.095714,36.141624,36.13869
0.150246,0.183446102,0.141643,0.422090358,-3.170577045022194e-08,-3.170577045022194e-08,5643121357.43438,0.907487,35.000472,44.126956,2.8066,40.291378,48.478247,0.15347,0.153474,0.153474,94.0537,94.055207,94.055205,82.373261,82.374067,82.374065
0.790735,0.02357826318,0.688315,3.148234488,-3.170577045022194e-08,-3.170577045022194e-08,4203014007.1740675,1.03554,35.816026,47.963725,1.59819,56.190458,67.232457,0.057935,0.058069,0.058073,64.9719,65.062832,65.062798,63.688956,63.772271,63.772034
0.101162,5.2674954000000005,0.100381,0.0896388878,-3.170577045022194e-08,-3.170577045022194e-08,2212209246.8832493,1.78106,1.693817,45.528613,14.9787,12.846797,55.312904,0.233682,0.233839,0.233835,69.0336,69.069046,69.068201,51.825985,51.834867,51.834623
0.795393,0.2252867506,0.770393,5.5434704,-3.170577045022194e-08,-3.170577045022194e-08,1744635890.5455022,6.62125,23.581971,50.521195,1.51533,34.512525,52.137131,0.257854,0.259029,0.259133,69.724,70.004481,70.009731,49.57603,49.640192,49.63197
0.763097,1.874021642,0.151949,3.92433296,67085415.3455929,403667.40646797715,4860313911.945197,14.9619,7.814461,7.592456,1.02871,7.814461,7.592456,0.269665,0.000782,0.00681,9.17785,7.592481,7.816635,6.347688,7.592456,7.814461
0.354371,0.090893549,0.32323,0.372348624,-3.170577045022194e-08,-3.170577045022194e-08,3170978301.2709684,5.59633,30.299759,35.217534,2.43806,25.171859,25.427108,0.20904,0.210456,0.210712,22.1734,22.300653,22.31079,17.533958,17.583805,17.58259
0.599504,0.571548956,0.454794,0.915051096,-3.170577045022194e-08,-3.170577045022194e-08,5033350096.018988,5.61665,52.926786,62.646935,3.64379,50.52727,61.031036,0.007713,0.007716,0.007716,57.7562,57.772776,57.772764,57.735593,57.752143,57.752131
0.64357,3.52525734,0.597017,0.0808326044,-3.170577045022194e-08,-3.170577045022194e-08,4177698871.4813704,1.70025,51.028731,68.248159,6.82536,46.480429,61.622846,0.109603,0.109749,0.109752,74.9745,75.037471,75.037121,69.927953,69.974086,69.973506
0.461232,0.1326878338,0.228488,0.019579937380000002,-3.170577045022194e-08,-3.170577045022194e-08,3038346647.6178474,5.47636,35.540956,59.759234,2.98119,22.736857,51.081664,0.210815,0.210821,0.210821,61.4651,61.466445,61.466457,48.42898,48.429466,48.429438
0.804759,0.029937389520000003,0.702224,0.284290521,-3.170577045022194e-08,-3.170577045022194e-08,1242649684.0865562,9.79082,19.46674,48.503324,9.12574,22.034015,51.414013,0.295585,0.2956,0.295618,58.5122,58.517467,58.518565,37.994711,37.99672,37.9957
0.863798,0.01920322362,0.470562,0.02265310036,-3.170577045022194e-08,-3.170577045022194e-08,1013691120.8017604,4.263,15.142806,45.33425,7.52246,13.718466,60.825017,0.204913,0.204915,0.204915,68.3922,68.392796,68.392664,54.534695,54.534944,54.534858
0.826745,5.6999088,0.204503,0.5038546540000001,-3.170577045022194e-08,-3.170577045022194e-08,6072916243.164113,4.14749,35.183969,35.079633,1.25265,42.57036,46.592999,0.265355,0.266394,0.266562,46.0826,46.330548,46.339842,32.198178,32.292369,32.286061
0.951241,0.1801719346,0.574798,0.1484568876,-3.170577045022194e-08,-3.170577045022194e-08,6088966071.629643,7.82635,39.237255,43.330535,7.30256,58.021382,62.502853,0.018412,0.018413,0.018412,84.5326,84.534869,84.534737,84.361009,84.36326,84.363129
0.306773,0.7106971280000001,0.304184,1.6966848380000001,-3.170577045022194e-08,182404660.74825618,5683835535.208727,12.0959,11.499314,11.536013,3.83407,9.890677,9.939848,0.276977,0.254046,0.258627,14.1191,13.857428,13.935215,9.596059,9.939848,9.890677
0.968436,0.01529093894,0.533045,0.084218108,-3.170577045022194e-08,-3.170577045022194e-08,1435360632.3246856,4.59554,17.944386,25.328615,5.09672,23.385139,26.726665,0.118676,0.11852,0.118917,20.5567,20.573553,20.587869,18.9526,18.972026,18.975315
0.104032,1.40176376,0.10383,0.024728495439999998,-3.170577045022194e-08,-3.170577045022194e-08,6177937803.026021,2.84847,41.460274,46.987294,3.00641,41.573707,47.057613,0.221343,0.221356,0.221357,79.548,79.551611,79.55161,61.321431,61.322469,61.322468
0.915359,0.49352215000000005,0.519284,1.628782372,-3.170577045022194e-08,-3.170577045022194e-08,4398068438.279213,3.98139,19.77634,19.708437,2.16394,20.018934,20.091938,0.168807,0.165226,0.168465,22.0007,22.241538,22.294702,18.775792,19.099652,19.038063
0.86915,0.049112511,0.571522,0.052086732999999996,-3.170577045022194e-08,-3.170577045022194e-08,4993321021.352581,11.3566,35.145874,36.923734,7.65613,44.862224,47.71277,0.238431,0.238378,0.238428,34.0038,34.005729,34.008673,25.263186,25.26755,25.266997
0.636977,0.01663589916,0.504817,6.54729398,-3.170577045022194e-08,-3.170577045022194e-08,3638927221.2519536,7.99346,41.865543,58.587774,1.24037,35.104731,35.118113,0.23663,0.240291,0.240534,43.5931,44.160931,44.172454,32.516329,32.674656,32.665555
0.821194,0.489317868,0.802696,0.503589718,57175269.49904883,59003455.92897908,5022336322.380796,1.80188,9.616202,9.650181,3.21242,9.616202,9.650181,0.255609,0.022009,0.049769,10.5885,9.678229,9.759138,7.567854,9.650181,9.616202
0.385409,0.1847193718,0.373171,0.2157578858,-3.170577045022194e-08,-3.170577045022194e-08,3547692467.3836946,2.88287,34.148517,55.41306,1.94831,32.121872,54.194416,0.187346,0.187376,0.187377,62.8782,62.885373,62.885351,51.882219,51.88517,51.885117
0.721099,9.62749038,0.594265,0.918388028,-3.170577045022194e-08,-3.170577045022194e-08,4055465663.9075637,1.41325,61.506549,79.476074,1.11711,43.893927,62.112533,0.010089,0.010127,0.010128,79.0581,79.23055,79.22973,79.009841,79.181822,79.180994
0.170916,5.2477198199999995,0.140278,0.1787327644,-3.170577045022194e-08,-3.170577045022194e-08,1173542410.1894011,0.936129,2.095437,32.005233,1.23535,0.514936,44.089869,0.241454,0.248636,0.248611,32.9315,33.709014,33.699294,24.303133,24.479145,24.473455
0.19914,0.753635684,0.131209,0.02195448936,-3.170577045022194e-08,-3.170577045022194e-08,6430727007.828527,13.5768,25.542281,25.65732,10.2118,46.267619,48.119211,0.172236,0.172231,0.172254,19.8706,19.886638,19.887483,16.855753,16.869513,16.869525
0.15038,1.561882878,0.143298,0.7131351699999999,-3.170577045022194e-08,-3.170577045022194e-08,1493022087.558133,1.06829,0.722155,45.24146,1.06039,0.666912,44.586866,0.299799,0.299947,0.299939,79.2819,79.317658,79.315657,50.941156,50.945128,50.944873
0.898066,2.6737120340000002,0.368254,0.02515526318,-3.170577045022194e-08,-3.170577045022194e-08,1885309149.6164582,12.1596,33.267858,34.761415,2.77669,15.014738,54.330391,0.240065,0.239666,0.240381,44.7766,44.812143,44.843588,33.146803,33.202432,33.173134
