Pri_dMass,Pri_dTidalTau,Sec_dMass,Sec_dTidalTau,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb,Initial_Peq,Final_Peq,Age_Peq
0.760622,0.733737098,0.580794,0.01758459082,-3.170577045022194e-08,-3.170577045022194e-08,3177971563.4731746,3.1621,27.887185,27.894053,11.909,26.734614,32.131106,0.151404,0.151137,0.151513,30.1295,30.164786,30.173485,26.476122,26.518535,26.51013
0.212409,6.689949400000001,0.209815,1.4215330320000001,157392961.31896004,250447653.77298668,3908380962.082864,1.42522,12.04141,12.060775,2.74162,12.04141,12.060775,0.099397,0.087988,0.09309,12.3646,12.62141,12.668007,11.672029,12.060775,12.04141
0.733953,0.13670445280000001,0.649749,0.0380413402,-3.170577045022194e-08,-3.170577045022194e-08,1808690327.22898,6.80353,17.684253,17.707282,8.46934,19.939945,20.009433,0.223334,0.220285,0.222835,19.2137,19.146357,19.214477,14.749099,14.792317,14.765305
0.811729,0.05916115499999999,0.530686,0.57912171,-3.170577045022194e-08,2509767913.7603045,4380429606.51533,1.26975,33.441446,35.050112,2.70395,27.991221,27.99039,0.049885,0.049938,0.049976,28.3643,28.40928,28.410757,27.946953,27.99039,27.991221
0.378548,5.77648792,0.106272,0.2887080134,-3.170577045022194e-08,-3.170577045022194e-08,1760772877.6226008,7.21839,17.324935,26.947376,5.45183,4.132584,68.832063,0.190682,0.190704,0.190698,77.1209,77.127871,77.125721,63.232552,63.235601,63.234531
0.120327,0.030498359960000002,0.117928,0.25186645480000003,-3.170577045022194e-08,-3.170577045022194e-08,3235674859.5031247,3.00193,12.648478,72.206201,4.99992,19.082655,74.219077,0.16355,0.16355,0.16355,84.748,84.74817,84.748168,72.985793,72.985878,72.985877
0.602623,7.603410879999999,0.247618,0.038432120800000004,-3.170577045022194e-08,-3.170577045022194e-08,6252824730.906397,1.09764,37.895717,39.839772,6.01172,97.408405,101.602963,0.022101,0.022117,0.022117,84.5961,84.632522,84.631986,84.348891,84.384847,84.384315
0.450836,0.581783686,0.156271,0.1778972698,682145.212428662,407681.0399492708,3142928213.52162,8.7253,4.205689,3.887443,14.4004,4.205689,3.887443,0.298251,3.998744e-08,0.000562,5.168,3.887442,4.205694,3.333531,3.887443,4.205689
0.611175,0.13706053940000001,0.535529,0.251804321,-3.170577045022194e-08,-3.170577045022194e-08,1771645821.054154,10.3344,23.454498,33.850786,1.05467,20.029077,30.777198,0.23356,0.233566,0.233565,98.797,98.79915,98.798781,74.190167,74.190761,74.190625
0.303121,2.2705393679999997,0.241621,1.826522402,-3.170577045022194e-08,-3.170577045022194e-08,6316370917.815441,7.56529,95.895567,97.255771,2.03607,87.626001,89.987028,0.162387,0.162454,0.162455,58.8007,58.817869,58.818005,50.740164,50.749215,50.749236
0.555181,0.379880376,0.51831,2.2234280699999998,-3.170577045022194e-08,406201648.7000634,4193483797.7264686,1.22439,22.12261,22.114458,1.94198,20.706225,20.715701,0.086365,0.086402,0.0873,21.3367,21.644223,21.653716,20.422131,20.715701,20.706225
0.206222,0.23235139519999998,0.196426,0.087182868,-3.170577045022194e-08,-3.170577045022194e-08,6278748145.938861,2.62571,68.935026,69.458678,12.2988,78.912512,80.162767,0.234515,0.234635,0.234639,30.085,30.098348,30.098595,22.544838,22.548912,22.548913
0.215678,0.481297246,0.13013,1.832328916,-3.170577045022194e-08,-3.170577045022194e-08,6602947892.204809,0.923924,86.918621,89.559848,7.58896,77.619281,79.036045,0.118459,0.118496,0.118496,53.3785,53.388792,53.388803,49.227286,49.234405,49.234409
0.33862,4.50955766,0.237358,0.1372371634,-3.170577045022194e-08,-3.170577045022194e-08,1410677797.382926,9.22699,59.059367,81.934494,1.81571,4.851251,94.750632,0.112647,0.112664,0.112682,50.787,50.795586,50.797686,47.189298,47.19626,47.197132
0.622458,0.549925132,0.604302,3.3430823000000003,-3.170577045022194e-08,1648636968.928345,2179588240.7101107,2.99319,29.578244,37.53234,1.28133,36.354696,36.354546,0.003155,0.003175,0.003183,36.1551,36.356745,36.356906,36.152941,36.354546,36.354696
0.940101,0.785610936,0.585243,2.237939624,-3.170577045022194e-08,-3.170577045022194e-08,1900228254.7681613,1.8503,32.309496,52.780774,9.46317,24.516737,39.402059,0.109036,0.109049,0.109046,92.6097,92.618289,92.615017,86.436269,86.442892,86.440211
0.227218,0.036369404800000005,0.194769,1.4721200380000001,-3.170577045022194e-08,-3.170577045022194e-08,5116371009.263873,4.34753,84.438729,94.506719,2.48481,60.624233,60.997603,0.04426,0.04434,0.044342,32.1679,32.203117,32.203601,31.794149,31.827628,31.82806
0.42577,0.0359795704,0.117019,0.02308765848,-3.170577045022194e-08,-3.170577045022194e-08,6575457286.851611,1.45629,12.603177,12.611198,8.57762,12.386372,12.371108,0.024075,0.023843,0.023901,7.66368,7.737621,7.741557,7.63712,7.711317,7.715112
0.155369,0.033179449199999995,0.115135,0.2704116594,-3.170577045022194e-08,-3.170577045022194e-08,5379123294.095587,1.03636,41.68244,41.679683,1.74046,12.905437,12.899468,0.00198,0.002017,0.00202,9.93453,10.082141,10.084959,9.934296,10.081895,10.084712
0.317737,0.46682354,0.31612,0.12314824540000001,-3.170577045022194e-08,-3.170577045022194e-08,1514355419.6167305,3.74496,34.831336,109.95014,4.38515,39.513118,111.37987,0.103821,0.103824,0.103825,66.59,66.591412,66.591464,62.540914,62.541994,62.542013
0.650388,0.38135014,0.108877,3.5963169600000002,-3.170577045022194e-08,193700602.40963855,5221947240.061329,10.2091,13.77883,13.736121,2.3387,10.150249,10.15848,0.178796,0.153361,0.159545,11.9747,11.596892,11.706421,10.038603,10.15848,10.150249
0.308811,0.05949674060000001,0.19745,0.34217746,-3.170577045022194e-08,-3.170577045022194e-08,5342891575.97151,11.2731,103.068279,113.32454,3.21603,82.111787,92.251227,0.112366,0.112367,0.112367,85.294,85.294378,85.294379,79.279893,79.280165,79.280165
0.578886,0.01537789472,0.216993,3.98463744,-3.170577045022194e-08,-3.170577045022194e-08,4826222087.297504,2.46258,29.189206,32.282344,1.97816,78.720562,92.35303,0.253391,0.253417,0.253417,97.7968,97.804869,97.804892,70.2544,70.256066,70.256053
0.737516,3.87355356,0.588146,3.66024854,180701490.17121115,213681959.41661382,4300344292.019596,7.71636,21.626075,21.738918,12.5,21.626075,21.738918,0.148338,0.135954,0.141127,24.2093,24.155445,24.217201,21.378199,21.738918,21.626075
0.733737,0.05967115679999999,0.30367,0.012755879900000001,-3.170577045022194e-08,-3.170577045022194e-08,4228344231.226646,12.1462,4.473483,3.496544,1.70498,4.519119,3.511147,0.040855,5.547331e-06,0.002086,5.10988,3.391165,4.176175,5.059207,3.39117,4.176068
0.9418,0.1702541816,0.802475,0.1098541354,-3.170577045022194e-08,-3.170577045022194e-08,6183642259.839885,14.5027,47.942435,51.194613,5.4713,39.456761,41.075269,0.048115,0.048116,0.048116,72.051,72.053031,72.052896,71.063748,71.065705,71.06557
0.226345,0.2119305068,0.136761,0.071256745,-3.170577045022194e-08,-3.170577045022194e-08,5497298280.458362,4.84404,88.141108,96.517423,11.2721,77.641925,85.303313,0.116519,0.116521,0.116521,51.896,51.89672,51.896732,47.98156,47.982077,47.982082
0.913757,0.0998244154,0.904139,0.0579840822,-3.170577045022194e-08,-3.170577045022194e-08,1667181413.9640894,2.1259,19.494184,19.57713,4.07053,20.729828,20.808783,0.268057,0.263848,0.268037,22.5007,22.387677,22.534911,15.621555,15.697824,15.646055
0.380387,0.118793833,0.272544,0.1499581916,-3.170577045022194e-08,-3.170577045022194e-08,4741616544.016756,10.7709,23.338293,26.057982,8.47211,93.087077,106.874103,0.047473,0.047473,0.047473,64.814,64.814357,64.81433,63.949135,63.949474,63.949447
0.849147,0.0875578786,0.178236,0.98045244,-3.170577045022194e-08,-3.170577045022194e-08,6459376110.568689,2.81135,40.867086,41.867982,9.7535,88.994718,92.320852,0.274528,0.27453,0.27453,99.8688,99.869396,99.869389,68.276298,68.27643,68.276426
0.358012,0.76669009,0.225093,0.149362401,-3.170577045022194e-08,-3.170577045022194e-08,2567568758.9101,1.53618,17.824268,26.384856,11.4818,64.914729,93.888503,0.279776,0.279957,0.279957,49.8495,49.878633,49.877875,33.652093,33.657046,33.656489
0.841758,2.570869556,0.19721,0.02192421096,-3.170577045022194e-08,-3.170577045022194e-08,2877253412.811911,9.40968,28.478568,28.572523,6.9216,61.189334,90.143192,0.295339,0.293986,0.295041,39.175,39.124751,39.181256,25.453771,25.506917,25.476755
0.710512,0.0562727218,0.431781,0.14241319279999998,-3.170577045022194e-08,-3.170577045022194e-08,6019298637.824376,1.6702,35.128603,36.661009,4.551,26.349247,27.555903,0.22149,0.221498,0.221498,65.5505,65.552443,65.552395,50.515467,50.516156,50.516123
