Pri_dMass,Pri_dTidalTau,Sec_dMass,Sec_dTidalTau,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb,Initial_Peq,Final_Peq,Age_Peq
0.911385,0.00239287672,0.488021,0.1152436906,-3.170577045022194e-08,-3.170577045022194e-08,5830402735.370018,6.98423,38.205247,38.829433,4.05966,22.912998,22.94219,0.237024,0.236796,0.236951,20.2046,20.215521,20.221283,15.057668,15.073359,15.072524
0.403162,0.8278524580000001,0.231967,0.133994536,-3.170577045022194e-08,-3.170577045022194e-08,5035629108.736842,2.54907,39.197074,39.441828,4.57679,49.634882,54.673694,0.255457,0.256272,0.256348,32.2856,32.380365,32.385084,23.083358,23.107708,23.107015
0.27808,0.00485902086,0.155269,0.1876292522,-3.170577045022194e-08,-3.170577045022194e-08,3780838758.1434164,5.70721,47.6783,70.709029,11.5346,47.173319,69.762353,0.067308,0.067308,0.067308,99.0892,99.089242,99.089241,96.466104,96.466141,96.46614
0.99229,0.001293764492,0.308088,0.0355531496,-3.170577045022194e-08,-3.170577045022194e-08,6817140115.168673,1.07227,46.911291,47.864427,12.5347,70.460769,71.605213,0.234184,0.234186,0.234186,46.2761,46.276503,46.276508,34.703074,34.703232,34.703231
0.867898,0.1430253842,0.814665,0.002667996986,-3.170577045022194e-08,-3.170577045022194e-08,1035835957.2704213,6.88437,18.649965,18.198968,7.29205,21.36752,42.711819,0.263816,0.261463,0.264046,22.811,22.76289,22.843226,15.99584,16.050104,16.009808
0.182524,0.022951563379999998,0.173521,0.001624502394,-3.170577045022194e-08,-3.170577045022194e-08,5829641351.082998,1.90173,3.618762,3.63597,4.62908,8.740177,8.748991,0.272813,0.229777,0.236081,4.37798,4.243513,4.279087,3.00535,3.212867,3.195647
0.279431,0.181761866,0.166262,0.1962248484,-3.170577045022194e-08,-3.170577045022194e-08,5240967330.692773,2.99277,57.202335,69.242855,1.47063,51.594372,64.198135,0.23016,0.230167,0.230167,81.1949,81.196812,81.196813,61.42379,61.424297,61.424294
0.157096,0.1701229752,0.144852,0.00370648618,-3.170577045022194e-08,-3.170577045022194e-08,5170174603.064468,1.41032,50.91377,63.824631,6.81479,56.453205,68.205775,0.184546,0.184549,0.184549,79.7771,79.77795,79.77795,66.172617,66.172967,66.172966
0.290641,0.00547370392,0.163721,0.00359070284,-3.170577045022194e-08,-3.170577045022194e-08,6462406410.047243,2.04713,65.039862,68.641079,11.0118,65.86997,69.578447,0.244875,0.244876,0.244876,53.5627,53.562839,53.56284,39.227785,39.227818,39.227818
0.115723,0.1043207578,0.110162,0.201378169,-3.170577045022194e-08,-3.170577045022194e-08,2757576258.087127,5.08776,30.575829,67.310639,9.95599,34.975328,69.741171,0.13825,0.138254,0.138254,47.5407,47.541625,47.541632,42.638853,42.639422,42.639422
0.870657,0.01801662574,0.771728,0.441705084,-3.170577045022194e-08,-3.170577045022194e-08,6248520731.351542,1.39349,51.862761,54.98628,5.22316,56.398615,57.623626,0.187066,0.187094,0.187097,55.6085,55.617998,55.618278,45.908053,45.913494,45.913411
0.607924,0.0518709994,0.472979,0.0411032434,-3.170577045022194e-08,-3.170577045022194e-08,3855578288.607951,0.996336,16.419042,16.223913,2.6639,18.062777,17.970378,0.090772,0.091475,0.093134,11.6708,11.894906,11.941506,11.120611,11.325841,11.350317
0.7759,0.001619648388,0.401938,0.0509594934,-3.170577045022194e-08,-3.170577045022194e-08,4212337775.22184,6.78081,47.355778,61.639985,2.20728,51.735377,69.956839,0.154404,0.154411,0.154411,48.8357,48.837209,48.837238,42.705745,42.706581,42.706583
0.497733,0.0625100722,0.154487,0.373629148,-3.170577045022194e-08,-3.170577045022194e-08,1435211577.0528305,2.35281,25.723932,74.478623,14.9327,22.41416,65.622736,0.074567,0.074575,0.074577,39.2799,39.282857,39.282992,38.011208,38.013801,38.013879
0.152011,0.14752456519999999,0.118275,0.0027936239600000004,-3.170577045022194e-08,-3.170577045022194e-08,2526549980.1040473,1.30476,21.010135,58.997273,4.0362,25.565423,66.441328,0.275287,0.275518,0.275523,32.3984,32.421857,32.422142,22.10922,22.112961,22.112921
0.828719,0.003069274098,0.333688,0.001656830894,-3.170577045022194e-08,-3.170577045022194e-08,6965787456.3595495,12.2533,56.393151,56.495831,1.72789,67.972887,68.12275,0.170484,0.17048,0.17048,27.3699,27.36999,27.369993,23.289291,23.28953,23.289531
0.365286,0.1908397088,0.209948,0.001409623528,133802948.63665187,-3.170577045022194e-08,3418349154.370477,8.87543,5.546487,5.525033,7.27187,18.949037,18.533717,0.120182,0.062052,0.085936,5.92369,5.652715,5.792412,5.450559,5.525033,5.546487
0.125695,0.0146638922,0.122569,0.0902132312,-3.170577045022194e-08,-3.170577045022194e-08,6545664459.573827,6.30384,65.128162,67.935306,7.01533,65.500069,68.306254,0.155066,0.155067,0.155067,60.421,60.421184,60.421184,52.779596,52.779696,52.779696
0.251702,0.0011557990699999998,0.11733,0.421560486,-3.170577045022194e-08,-3.170577045022194e-08,6558606188.799153,2.5722,64.738731,67.697987,1.84597,60.691558,63.512452,0.273135,0.273168,0.273168,57.7368,57.742672,57.742675,39.604095,39.605037,39.605036
0.432407,0.00706186908,0.152315,0.01108577382,-3.170577045022194e-08,-3.170577045022194e-08,6513435021.127328,4.42785,70.137448,73.262616,14.3118,67.425048,70.3251,0.008357,0.008357,0.008357,74.5864,74.586418,74.586418,74.555157,74.555175,74.555175
0.262005,0.703796176,0.253304,0.00382898754,-3.170577045022194e-08,-3.170577045022194e-08,1116743204.0083194,5.52942,14.687848,47.403679,2.88593,5.361537,67.805457,0.001068,0.001069,0.001069,28.992,29.010699,29.011677,28.991802,29.0105,29.011478
0.103787,0.768620338,0.101049,0.0043024660199999995,-3.170577045022194e-08,-3.170577045022194e-08,4008085222.5473742,0.968829,34.083102,61.860054,1.0163,33.864351,62.250948,0.097394,0.097433,0.097433,51.6821,51.694023,51.694023,48.896661,48.905863,48.90586
0.36122,0.537022118,0.155992,0.00197765262,-3.170577045022194e-08,-3.170577045022194e-08,3718289524.0576067,9.16894,20.095939,19.979306,8.8928,44.583566,63.16038,0.299487,0.297532,0.298964,18.6027,18.56024,18.612291,11.962203,11.993542,11.984095
0.245419,0.0055514184800000005,0.161657,0.0028183513199999998,-3.170577045022194e-08,-3.170577045022194e-08,4844700549.600559,1.54967,48.881873,59.481735,1.41225,46.774311,59.721806,0.082777,0.082839,0.082842,15.3612,15.3683,15.368457,14.754253,14.760199,14.760312
0.303683,0.78110387,0.218004,0.00212245276,123124603.67786938,-3.170577045022194e-08,5988632422.081244,1.08195,6.600959,6.639178,7.18105,23.45562,23.538656,0.183794,0.101381,0.111186,7.08682,7.049027,7.091217,5.88654,6.639178,6.600959
0.165713,0.002260342486,0.105757,0.00867924028,-3.170577045022194e-08,-3.170577045022194e-08,5816016085.634928,1.01184,54.552383,63.042874,1.12159,53.117296,62.161317,0.051982,0.051982,0.051982,70.4971,70.497155,70.497155,69.372166,69.372217,69.372217
0.592237,0.02519847298,0.236804,0.0975396578,-3.170577045022194e-08,-3.170577045022194e-08,3993048878.966012,6.41217,56.698805,76.30213,8.1302,49.207676,69.897128,0.086397,0.086397,0.086397,57.6171,57.617446,57.617454,55.145695,55.145987,55.14599
0.433034,0.24378590680000004,0.252222,0.050827656199999995,-3.170577045022194e-08,-3.170577045022194e-08,5061558598.035859,7.07155,61.923144,74.239757,7.54004,57.718392,70.386337,0.104154,0.104155,0.104155,81.0842,81.084593,81.084591,76.123991,76.124293,76.124289
0.488474,0.002370628404,0.169493,0.286838953,-3.170577045022194e-08,-3.170577045022194e-08,6745244030.000726,2.29489,73.173047,74.845184,0.929712,55.950745,57.257496,0.067977,0.068075,0.068075,33.1975,33.224952,33.22496,32.301614,32.325803,32.325809
0.528296,0.291230898,0.271988,0.01687661244,-3.170577045022194e-08,-3.170577045022194e-08,2931342008.57449,1.08555,43.862298,74.773445,4.94311,38.899124,70.162163,0.029456,0.029462,0.029462,60.965,60.971812,60.971807,60.649237,60.655892,60.655884
0.824333,0.009424152,0.620724,0.319064948,-3.170577045022194e-08,-3.170577045022194e-08,6186262791.08148,5.08193,54.596845,58.109873,2.53132,60.53209,61.590716,0.054532,0.054555,0.054556,43.8248,43.83835,43.838538,43.05641,43.069084,43.069233
0.825976,0.392408064,0.227881,0.0158783399,-3.170577045022194e-08,-3.170577045022194e-08,5337571098.948948,2.47191,51.024292,58.416774,6.93487,58.567505,69.168662,0.097881,0.0979,0.097902,54.7935,54.801942,54.802022,51.812374,51.819227,51.819192
0.590927,0.564559692,0.212973,0.036553598400000005,-3.170577045022194e-08,-3.170577045022194e-08,5022659791.998685,5.66249,26.273013,26.150938,1.38843,44.352298,48.633819,0.294986,0.294126,0.294763,25.6547,25.65328,25.6843,16.683691,16.718516,16.712221
0.3441,0.03031754114,0.167052,0.0949864948,-3.170577045022194e-08,-3.170577045022194e-08,2856898275.1389194,5.40472,37.408808,47.43082,1.11257,27.091708,31.030874,0.210015,0.211299,0.211411,18.0341,18.11898,18.123358,14.232471,14.262016,14.262189
0.909609,0.2091060998,0.382611,0.25133311340000003,-3.170577045022194e-08,-3.170577045022194e-08,4178196451.729782,2.16538,41.256499,55.118168,1.75584,50.608965,70.062307,0.056229,0.056239,0.056239,64.3408,64.348331,64.348096,63.142707,63.149678,63.149429
0.732462,0.0628689974,0.623804,0.0010084063419999998,-3.170577045022194e-08,-3.170577045022194e-08,3256717227.9644284,2.00977,42.617733,64.529934,14.8085,50.92202,75.417346,0.119899,0.1199,0.1199,99.9509,99.951254,99.951235,92.002361,92.002608,92.002591
0.510509,0.3001280166,0.496181,0.2154768644,-3.170577045022194e-08,-3.170577045022194e-08,3232550002.4732428,2.9279,34.839789,35.000225,1.23278,36.70509,37.665465,0.154503,0.155445,0.155668,26.4589,26.587105,26.598268,23.133981,23.21021,23.211454
0.735261,0.02555992138,0.286946,0.007984004060000001,-3.170577045022194e-08,-3.170577045022194e-08,2000322101.1679134,3.74202,27.965694,29.61739,1.18947,20.817277,46.178429,0.035811,0.035758,0.035879,15.7637,15.774115,15.786903,15.643322,15.654013,15.66589
0.590284,0.0033890360800000003,0.327084,0.001828417956,-3.170577045022194e-08,-3.170577045022194e-08,4980086307.173979,3.56625,47.533697,49.145072,9.33149,51.994085,57.40433,0.068552,0.068525,0.068543,14.3224,14.322578,14.323722,13.929496,13.929965,13.93088
0.688935,0.00964010638,0.347423,0.43581656599999996,-3.170577045022194e-08,-3.170577045022194e-08,3050022112.3498735,14.8635,45.528924,69.52797,2.98133,40.753962,70.855897,0.024035,0.024036,0.024036,67.1286,67.130863,67.130842,66.896721,66.89895,66.898929
0.756444,0.0538422494,0.551992,0.0014562806500000001,56193500.31705771,-3.170577045022194e-08,1888473338.9799352,1.08264,4.329767,3.788066,3.74364,7.444547,5.289545,0.242547,1.577282e-05,0.050499,4.71522,3.788066,4.396028,3.471324,3.788066,4.329767
0.792808,0.0461263038,0.604083,0.616474532,-3.170577045022194e-08,-3.170577045022194e-08,2212235282.8109674,14.6603,32.937844,41.29707,1.50719,29.477558,29.300433,0.228887,0.230018,0.230521,31.187,31.343817,31.367718,23.657785,23.718809,23.711083
0.363006,0.010485599160000001,0.267665,0.003045779952,-3.170577045022194e-08,-3.170577045022194e-08,6461068696.714403,0.896974,64.286332,67.909585,10.8955,68.423809,71.858699,0.173959,0.173959,0.173959,87.1685,87.168607,87.168607,73.71626,73.716309,73.716309
0.605317,0.0057987867,0.41468,0.00602410846,-3.170577045022194e-08,-3.170577045022194e-08,1568456418.5815845,2.04073,29.944995,64.596745,2.57152,23.942123,64.415969,0.288934,0.288965,0.288996,27.1741,27.177664,27.179514,17.938761,17.939741,17.939578
0.485872,0.9036651560000001,0.209412,0.07644255180000001,-3.170577045022194e-08,-3.170577045022194e-08,1835823373.446864,0.986059,8.835897,9.121031,4.794,12.327261,12.434283,0.188144,0.123713,0.185812,9.06793,9.172273,9.740291,7.470883,8.399575,8.060159
0.685161,0.002911936808,0.585891,0.056516841400000004,-3.170577045022194e-08,-3.170577045022194e-08,1051488338.7104497,1.67302,19.315708,23.149393,1.81952,12.73149,12.555083,0.232847,0.227836,0.236482,12.0031,12.002274,12.179474,9.027564,9.125271,9.087695
