Pri_dMass,Pri_dTidalTau,Sec_dMass,Sec_dTidalTau,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb,Initial_Peq,Final_Peq,Age_Peq
0.751839,5.57109944,0.355304,3.5567658,-3.170577045022194e-08,-3.170577045022194e-08,4497587944.290745,10.6301,59.174294,74.72101,9.38783,59.60303,76.888356,0.052625,0.052637,0.052639,82.8399,82.854928,82.854345,81.48561,81.499803,81.499159
0.311808,6.3649297,0.262765,0.7195598679999999,-3.170577045022194e-08,-3.170577045022194e-08,3125216187.1384325,2.90169,45.239227,51.736781,2.91139,39.439613,64.620892,0.109975,0.110446,0.110474,43.9394,44.06076,44.062646,40.96305,41.052252,41.05259
0.512107,0.92237153,0.191084,6.4924143800000005,-3.170577045022194e-08,-3.170577045022194e-08,5708940296.704831,2.86006,67.710303,75.827674,3.49758,60.148372,67.789392,0.267347,0.267426,0.267427,85.7255,85.747156,85.747231,59.616521,59.620471,59.620431
0.75521,8.04591708,0.439881,9.08109142,70327488.90298034,109088427.39378567,6205629607.215111,3.96711,15.944214,16.051194,1.3837,15.944214,16.051194,0.208132,0.079011,0.089437,17.2916,16.652734,16.709989,13.698818,16.051194,15.944214
0.530991,8.5467092,0.206652,8.281962440000001,-3.170577045022194e-08,-3.170577045022194e-08,3393955267.192049,3.13549,52.242332,78.494121,4.12337,42.788791,70.919714,0.206643,0.20674,0.206742,95.2221,95.255847,95.255685,75.664643,75.676651,75.676168
0.411588,6.216534,0.348298,7.021340179999999,-3.170577045022194e-08,-3.170577045022194e-08,6232020009.135037,1.29941,69.877193,74.59655,1.7695,69.946401,74.655397,0.044789,0.044896,0.044897,73.9987,74.099258,74.099254,73.118483,73.213681,73.213665
0.624192,0.208250735,0.276758,4.31003562,-3.170577045022194e-08,-3.170577045022194e-08,5458431918.50356,10.1491,64.731712,71.649433,13.4266,52.835953,52.99532,0.045652,0.045663,0.045666,44.2379,44.249728,44.25016,43.691465,43.702887,43.703243
0.412739,3.66094242,0.398515,8.05143658,-3.170577045022194e-08,-3.170577045022194e-08,1712783200.055783,1.21334,22.715242,72.794278,1.17151,22.190449,75.360858,0.021006,0.021039,0.021039,85.345,85.419347,85.418038,85.119632,85.193081,85.191777
0.804008,0.1256619834,0.772414,6.3980467,46154819.27710843,20620.510462904247,3889792389.8759594,10.4401,4.4971,3.999183,3.98497,4.4971,3.999183,0.186774,0.0,0.0,5.26768,3.999182,4.497099,4.351168,3.999183,4.4971
0.53586,6.204580340000001,0.469278,3.56663782,-3.170577045022194e-08,-3.170577045022194e-08,6097059762.507174,1.4257,70.340224,73.358526,8.4933,71.204481,75.173166,0.296592,0.296956,0.29696,90.917,91.021664,91.022259,58.88844,58.902641,58.902417
0.384406,9.586646080000001,0.1216,9.53551974,-3.170577045022194e-08,-3.170577045022194e-08,2814251918.9064307,6.82404,43.390468,71.697701,3.5311,33.41915,67.481427,0.177876,0.178034,0.178042,66.5679,66.610639,66.611038,55.898628,55.918475,55.917971
0.134565,9.2789103,0.100389,4.68656014,-3.170577045022194e-08,-3.170577045022194e-08,6679502139.667911,2.73391,64.696526,66.720345,0.850506,59.953625,62.399193,0.088916,0.088991,0.088991,76.9259,76.963482,76.963481,73.439686,73.469959,73.469956
0.115506,8.886615780000001,0.106448,4.83236956,-3.170577045022194e-08,-3.170577045022194e-08,6172333721.487482,2.17564,21.563244,21.562553,3.18928,23.814508,23.814439,0.252789,0.258152,0.258263,23.7439,24.221789,24.226035,17.080438,17.210624,17.2092
0.687652,1.285327542,0.621626,7.94438982,-3.170577045022194e-08,-3.170577045022194e-08,4081524168.001404,10.9232,54.856515,71.13731,1.89339,63.901846,74.270995,0.260321,0.260612,0.260626,91.6334,91.723163,91.724631,64.782696,64.802358,64.8012
0.950533,5.28761792,0.153784,2.038676212,-3.170577045022194e-08,-3.170577045022194e-08,3309561225.8984437,6.71156,28.786183,28.314064,12.6952,36.70768,37.366895,0.270468,0.268074,0.27072,38.1618,38.19498,38.313084,26.34363,26.516542,26.4322
0.862263,1.213315414,0.395086,2.192048924,-3.170577045022194e-08,-3.170577045022194e-08,3561738093.755639,1.05057,20.51911,20.418943,2.13727,21.128546,21.137035,0.098197,0.098855,0.10269,20.0466,20.904925,20.957351,18.949256,19.746044,19.709015
0.891855,0.68840781,0.168705,2.525272178,-3.170577045022194e-08,-3.170577045022194e-08,2369872530.3232994,2.94239,30.87275,55.241133,3.55512,28.825889,66.912549,0.176943,0.177007,0.177012,63.3816,63.399573,63.399039,53.313185,53.322148,53.321158
0.848746,8.54175742,0.141956,6.60296208,-3.170577045022194e-08,-3.170577045022194e-08,5545447965.64915,0.988562,53.180961,60.252895,6.44648,61.249477,70.127658,0.245226,0.2456,0.245604,90.7486,90.863085,90.862889,66.409331,66.43734,66.436548
0.863229,0.741262542,0.193948,4.14211666,-3.170577045022194e-08,-3.170577045022194e-08,3814322901.874914,1.1381,39.668461,42.827787,2.36681,38.727132,38.981287,0.103007,0.103761,0.103874,34.978,35.16152,35.168221,32.882396,33.025798,33.027712
0.891494,3.0317572680000002,0.709181,2.158127654,118107641.0906785,-3.170577045022194e-08,2800649000.6069,6.00476,20.668616,20.846238,3.94639,21.151468,21.294173,0.104328,0.085664,0.098422,21.693,21.764695,21.871024,20.36179,20.846238,20.668616
0.633689,1.284744052,0.623439,0.36091222,-3.170577045022194e-08,-3.170577045022194e-08,5508146393.036661,5.14475,56.30687,56.825664,3.65026,62.145713,66.354927,0.133757,0.133828,0.133843,49.786,49.812591,49.813772,44.950004,44.969358,44.969444
0.680206,4.74579226,0.320563,4.4252197,-3.170577045022194e-08,-3.170577045022194e-08,1138246969.21534,8.50879,30.573666,57.652376,1.3734,7.235097,60.880763,0.139709,0.140138,0.140221,54.6695,54.79601,54.798102,48.925169,49.006586,49.002285
0.17531,2.5629372459999997,0.155036,5.99301002,-3.170577045022194e-08,198610462.90424857,3631465522.455417,2.96352,14.002691,14.032238,4.03146,11.592586,11.642352,0.24552,0.237839,0.242422,15.56,15.649956,15.742211,11.379206,11.642352,11.592586
0.541446,3.28233626,0.30406,3.6270369199999997,-3.170577045022194e-08,-3.170577045022194e-08,6744441881.7072315,11.1662,30.294453,30.324895,2.84103,29.839544,29.900735,0.012495,0.012477,0.012483,26.8517,27.001925,27.002978,26.826569,26.976726,26.977753
0.721633,5.074754459999999,0.6457,3.48479152,-3.170577045022194e-08,-3.170577045022194e-08,2673813055.423834,11.7445,44.248626,44.090508,3.81984,45.746777,45.801084,0.124872,0.124904,0.125231,45.8024,45.906477,45.918629,41.877272,41.97059,41.962804
0.83017,6.35575156,0.146719,6.22258968,-3.170577045022194e-08,-3.170577045022194e-08,4832531652.486616,8.39283,50.745371,62.276525,2.39765,51.826922,68.421808,0.074978,0.075001,0.075002,86.3991,86.417564,86.416676,83.578651,83.594837,83.593948
0.214969,6.12345946,0.125036,6.44387432,-3.170577045022194e-08,-3.170577045022194e-08,6548440736.775065,1.4756,38.714559,38.871332,6.17051,36.752557,36.750653,0.014139,0.014457,0.014459,29.6258,30.016516,30.016916,29.590308,29.978919,29.979312
0.880618,5.47357776,0.168844,2.195565634,-3.170577045022194e-08,-3.170577045022194e-08,6225638458.581268,5.46975,55.840629,59.732261,13.9612,66.272523,71.578326,0.084946,0.084964,0.084964,90.9271,90.941838,90.941484,87.151515,87.164045,87.163695
0.106458,1.355570276,0.101778,9.58159968,-3.170577045022194e-08,-3.170577045022194e-08,4163044736.26632,1.46207,39.325195,61.999084,2.61179,45.457601,56.633195,0.232467,0.233259,0.233264,48.4698,48.597245,48.597677,36.484413,36.517361,36.517266
0.226968,3.82750516,0.180101,8.1256502,-3.170577045022194e-08,-3.170577045022194e-08,5254454409.701618,9.72364,59.914259,70.616554,14.1538,61.205187,71.317874,0.174468,0.174498,0.174499,72.6222,72.631567,72.631619,61.358868,61.363436,61.363392
0.201429,9.72381354,0.121176,4.34012478,-3.170577045022194e-08,-3.170577045022194e-08,1675473236.1642199,10.8737,26.176328,70.755136,1.11239,2.36122,62.929098,0.255466,0.255556,0.255556,91.5168,91.543289,91.542915,65.430761,65.4361,65.435903
0.543398,4.0771758,0.389371,2.220532698,-3.170577045022194e-08,-3.170577045022194e-08,4922732212.150841,2.29189,65.833275,78.961742,9.96191,61.884479,75.04965,0.145341,0.145411,0.145412,82.9531,82.980043,82.980083,73.598134,73.614054,73.613887
0.741402,4.81060696,0.346398,6.2941224,-3.170577045022194e-08,-3.170577045022194e-08,5699300598.990305,12.0843,63.966227,71.433556,1.38293,64.307733,73.657486,0.132612,0.132679,0.13268,96.5179,96.550511,96.550294,87.287579,87.308557,87.308284
0.876098,9.03302446,0.20849,3.26492618,-3.170577045022194e-08,-3.170577045022194e-08,6780282829.317856,1.43378,45.598012,45.588786,7.43009,57.830465,58.36276,0.258049,0.259975,0.259997,58.4853,58.907213,58.908819,41.566198,41.67958,41.678506
0.258711,6.63358742,0.183994,1.121016758,-3.170577045022194e-08,-3.170577045022194e-08,4314794204.584566,11.3306,34.621929,34.452437,2.42845,42.118358,45.431386,0.15623,0.156729,0.156834,32.0355,32.130042,32.134881,27.930466,27.98983,27.989186
0.125608,4.9333291,0.10571,9.7572144,-3.170577045022194e-08,-3.170577045022194e-08,1755365675.5967965,10.7173,22.480241,70.362481,9.5043,18.066771,71.690027,0.065707,0.065718,0.065718,71.4851,71.492266,71.492134,69.67951,69.685904,69.685773
0.125362,6.340959300000001,0.122194,1.38992049,10982.048192771084,88919.21369689284,3021225389.884033,8.25869,3.559804,3.517637,0.805115,3.559804,3.517637,0.039117,0.0,0.0,3.40828,3.517637,3.5598,3.37727,3.517637,3.559804
0.557782,5.3747314,0.105929,4.04472114,-3.170577045022194e-08,-3.170577045022194e-08,1394718116.8947475,8.0376,31.203686,77.743728,4.84009,4.660309,68.666433,0.218287,0.218314,0.218316,85.1827,85.191689,85.191381,66.087721,66.091011,66.090417
0.630272,6.61059476,0.22647,2.013094118,-3.170577045022194e-08,-3.170577045022194e-08,5393936750.680176,1.00614,67.100652,76.876256,1.53921,55.806899,66.98812,0.058591,0.058693,0.058693,79.3086,79.388912,79.388819,77.707622,77.780856,77.780715
0.58907,8.83662488,0.423827,3.48274142,-3.170577045022194e-08,-3.170577045022194e-08,3823147930.097446,2.75514,44.534223,44.447684,8.73801,48.96389,49.704484,0.126023,0.126752,0.126944,44.8626,45.093639,45.101975,40.952837,41.122017,41.118657
0.478261,2.9472426840000003,0.326016,1.514793658,-3.170577045022194e-08,-3.170577045022194e-08,6764904981.814107,13.001,18.651969,18.679255,1.37381,19.666325,19.664128,0.209508,0.206405,0.206695,20.9463,21.150395,21.15732,16.547853,16.814437,16.810097
0.932282,5.09427772,0.855459,4.96950548,-3.170577045022194e-08,-3.170577045022194e-08,5844338032.986894,8.34081,77.68449,78.944176,4.92321,77.529221,79.057789,0.073038,0.073089,0.073099,78.7631,78.821266,78.821681,76.319296,76.372301,76.372056
0.955835,7.48605054,0.703289,1.9167709579999999,40320672.16233355,-3.170577045022194e-08,2984586452.985517,12.9568,16.091438,16.620307,5.70884,16.334962,16.845361,0.205871,0.017825,0.09142,17.7279,16.651996,16.898988,14.108729,16.620307,16.091438
0.362488,2.780856568,0.246308,4.81313016,-3.170577045022194e-08,-3.170577045022194e-08,3754834208.340721,2.82116,48.583619,61.452903,0.886167,44.659961,55.61457,0.170208,0.171531,0.171553,49.3686,49.627562,49.629203,42.028604,42.150548,42.150284
0.737599,0.367841558,0.234075,0.627021508,-3.170577045022194e-08,-3.170577045022194e-08,2532690828.8816214,4.16632,38.050253,61.566779,6.55894,35.59161,64.693611,0.187421,0.18746,0.187478,49.4756,49.485776,49.487008,40.817656,40.823019,40.822677
0.891886,0.194436215,0.583962,4.74560302,-3.170577045022194e-08,-3.170577045022194e-08,3776354756.4204416,5.10117,40.534308,56.56889,4.36873,66.203058,76.322948,0.073965,0.074004,0.07401,69.5447,69.571784,69.571918,67.33352,67.357442,67.357257
0.181554,3.75493162,0.149929,8.7293258,-3.170577045022194e-08,-3.170577045022194e-08,3006337100.8670425,4.17814,32.566185,33.191244,7.63861,28.556285,28.515801,0.17867,0.179821,0.180045,28.677,28.842614,28.851658,24.045964,24.134019,24.131683
0.136497,0.731406292,0.123759,5.380692460000001,-3.170577045022194e-08,-3.170577045022194e-08,4862978057.208356,3.19436,38.230759,38.843891,4.27847,26.334296,26.333536,0.125324,0.12639,0.126462,23.0071,23.157251,23.160001,21.02236,21.128338,21.128735
0.300959,0.033143808999999996,0.144708,6.2731483,-3.170577045022194e-08,-3.170577045022194e-08,6491746569.325774,10.7017,69.278114,72.519209,4.96713,50.356931,50.387898,0.143981,0.144168,0.144169,43.32,43.358069,43.358144,38.515877,38.538571,38.538573
0.302357,0.9302691460000001,0.11782,2.7853384020000003,-3.170577045022194e-08,269593088.14204186,3405449019.8625093,1.37046,18.80748,18.6479,1.31065,12.791556,12.796617,0.172783,0.181931,0.183948,14.6543,15.352761,15.404214,12.41881,12.796617,12.791556
