Pri_dMass,Pri_dTidalTau,Sec_dMass,Sec_dTidalTau,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb,Initial_Peq,Final_Peq,Age_Peq
0.680229,0.81502514,0.46265,0.8683939740000001,-3.170577045022194e-08,-3.170577045022194e-08,4616489866.819225,1.63515,55.836312,64.311573,0.939961,56.787497,68.130427,0.157607,0.15792,0.157932,55.8969,55.973125,55.97407,48.623318,48.664309,48.664185
0.958187,0.675589954,0.803756,0.052640259999999994,-3.170577045022194e-08,-3.170577045022194e-08,4309087534.4360695,8.07893,51.664676,58.123258,14.2784,47.699565,60.677772,0.045231,0.045234,0.045243,54.6228,54.636975,54.637339,53.960351,53.974267,53.974356
0.969377,0.369834886,0.772051,0.521753604,6865025364.61636,-3.170577045022194e-08,5753630890.983856,11.622,12.454,12.587427,6.62635,12.650431,12.906157,0.249371,0.152289,0.172145,15.322,14.344802,14.514001,11.108164,12.587427,12.313871
0.384447,0.019253593,0.240915,0.104009458,-3.170577045022194e-08,-3.170577045022194e-08,6823737770.5217085,14.3852,72.827472,73.795629,9.5216,69.052255,70.411209,0.263178,0.263179,0.263179,74.6217,74.621909,74.62191,52.405461,52.405509,52.405509
0.947546,0.035688140800000004,0.296715,0.035586582,-3.170577045022194e-08,-3.170577045022194e-08,5898195856.006446,3.39205,39.540313,40.758661,4.07788,55.743185,58.926675,0.023092,0.023086,0.023091,25.9249,25.93116,25.93242,25.842218,25.8485,25.849716
0.250726,0.526759002,0.153408,0.01828840592,-3.170577045022194e-08,-3.170577045022194e-08,5779310145.255542,6.22001,62.109744,69.929806,14.002,62.857949,70.26075,0.162193,0.162196,0.162196,74.4012,74.402017,74.402018,64.223268,64.223691,64.223689
0.812178,0.0554719212,0.22579,0.2347386578,-3.170577045022194e-08,-3.170577045022194e-08,4253423261.429561,10.3856,41.769764,46.292537,13.9999,40.208282,41.174314,0.173329,0.173242,0.173309,27.2969,27.295896,27.29971,23.110309,23.113065,23.113502
0.988962,0.267801409,0.103396,0.25497472179999997,-3.170577045022194e-08,-3.170577045022194e-08,2576167462.386039,9.30797,28.612941,47.589867,3.86724,24.1545,65.289885,0.252548,0.252535,0.252583,46.7605,46.764132,46.767133,33.656216,33.659861,33.658332
0.131024,0.341281724,0.109589,0.0757174472,-3.170577045022194e-08,-3.170577045022194e-08,6476205179.784696,5.89147,43.166654,43.337763,8.50658,57.171548,58.632751,0.12449,0.124633,0.124635,21.4012,21.419041,21.419179,19.577458,19.589938,19.589997
0.394169,0.0711409932,0.1362,0.23353950699999998,-3.170577045022194e-08,-3.170577045022194e-08,1230422506.903682,1.2805,9.047216,69.27376,0.927387,0.990673,61.944894,0.080114,0.080136,0.080136,48.0237,48.031395,48.031231,46.241977,46.248437,46.248289
0.96315,0.15818066960000002,0.702061,0.9913211239999999,-3.170577045022194e-08,-3.170577045022194e-08,4677806050.038197,2.19255,40.11737,51.279121,0.922496,55.449477,69.831537,0.009516,0.009518,0.009518,97.4126,97.424248,97.423956,97.359702,97.371322,97.37103
0.184839,0.015327966899999998,0.120472,0.0401888988,-3.170577045022194e-08,-3.170577045022194e-08,2883655877.253207,4.4083,23.398427,23.822223,4.73904,17.067683,17.050025,0.203379,0.203685,0.204298,9.2038,9.235028,9.247386,7.361499,7.381968,7.382786
0.339898,0.057532744799999994,0.135702,0.071551644,-3.170577045022194e-08,-3.170577045022194e-08,3243201821.720899,6.73098,44.04625,64.460069,1.99418,33.335844,55.423172,0.09356,0.093619,0.093627,23.9095,23.919622,23.920231,22.715496,22.723672,22.724054
0.237223,0.0356114986,0.13357,0.466798308,-3.170577045022194e-08,-3.170577045022194e-08,6550516290.034979,7.25366,27.569508,27.651613,1.64323,13.494209,13.492452,0.172117,0.173451,0.173556,11.6973,11.82304,11.825213,9.924635,10.007526,10.007496
0.246367,0.40267117999999996,0.156829,0.20769846960000002,-3.170577045022194e-08,-3.170577045022194e-08,2036635035.4682863,7.54037,29.746948,70.00084,9.74108,28.123461,69.190632,0.281598,0.281603,0.281604,73.1737,73.17497,73.17499,49.179863,49.180084,49.180063
0.759067,0.01062276662,0.175279,0.056408028400000004,-3.170577045022194e-08,-3.170577045022194e-08,1883132733.0278401,3.5012,30.631321,62.025256,14.4292,29.23569,66.935169,0.23856,0.238562,0.238567,38.3993,38.399917,38.400218,28.520704,28.521013,28.520971
0.330286,0.017843344980000002,0.160719,0.20937923619999999,-3.170577045022194e-08,-3.170577045022194e-08,2610427321.096386,3.61384,32.869881,40.752697,6.39237,19.241213,19.237461,0.141323,0.141401,0.141682,13.7019,13.726862,13.735224,12.232203,12.253033,12.255238
0.909009,0.0346911614,0.829487,0.0715465976,-3.170577045022194e-08,-3.170577045022194e-08,5527090073.64416,1.30272,47.510222,53.932132,4.52258,52.180431,58.232979,0.071526,0.071535,0.071536,50.7442,50.749407,50.749464,49.232348,49.237024,49.237035
0.102778,0.0615417942,0.101974,0.17498770479999998,-3.170577045022194e-08,-3.170577045022194e-08,5598692392.278808,11.7481,27.850665,27.847005,1.71919,21.100374,21.096228,0.097382,0.098993,0.099049,10.8819,11.006939,11.008731,10.295555,10.395145,10.396189
0.649128,0.028094759639999998,0.325687,0.66429548,-3.170577045022194e-08,-3.170577045022194e-08,3029189422.021855,2.21014,44.940141,71.437468,1.67509,37.987325,69.314636,0.138871,0.138896,0.138897,66.8517,66.859498,66.859489,59.902905,59.90761,59.907569
0.957587,0.47838295,0.390071,0.31739963600000004,-3.170577045022194e-08,-3.170577045022194e-08,2705824864.2932816,0.865066,30.559833,53.596785,1.99412,37.238254,70.171107,0.209547,0.209665,0.209668,71.8839,71.915698,71.914643,56.784719,56.796235,56.794968
0.158594,0.079914475,0.130301,0.02080170236,-3.170577045022194e-08,-3.170577045022194e-08,5307137594.191437,1.47953,29.960762,29.966903,2.51877,40.51319,42.046981,0.143076,0.144555,0.144594,13.7466,13.842074,13.843392,12.239203,12.29607,12.296498
0.766897,0.1096115928,0.471317,0.349009024,-3.170577045022194e-08,-3.170577045022194e-08,2790180695.785928,3.54202,25.818614,25.29903,5.98585,24.16185,24.081697,0.278015,0.277401,0.278516,25.3473,25.360824,25.411141,17.184274,17.218929,17.20674
0.216777,0.02220220452,0.197203,0.0529846768,-3.170577045022194e-08,-3.170577045022194e-08,3646392277.251913,12.5295,47.30901,70.318169,8.2225,45.421005,68.781135,0.174358,0.174358,0.174358,90.4742,90.474243,90.474243,76.457183,76.457203,76.457203
0.587399,0.1032543904,0.583581,0.013929704079999999,-3.170577045022194e-08,-3.170577045022194e-08,6812955846.196031,2.14907,73.995394,74.998746,1.50437,73.838623,74.899542,0.218226,0.218235,0.218235,70.1328,70.134986,70.134991,54.418418,54.419142,54.419141
