Pri_dMass,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal
0.63245,2647293001.406866,2.65193,42.417333,72.995907
0.249673,6851538517.598548,3.0755,66.88742,68.05267
0.863631,4674039901.620073,2.71419,44.953305,55.60468
0.707979,4053246767.15065,0.916284,48.610704,65.747945
0.302666,3273645537.966153,1.64152,39.224654,68.414674
0.877289,3880887163.697645,1.5111,39.836357,54.635954
0.63867,1799021524.6911306,1.2654,31.605396,71.759378
0.614827,6291755041.993473,4.89994,70.817905,74.903902
0.355943,3179527305.1794744,5.63716,43.864516,71.63484
0.682322,4402248937.534021,11.7484,55.19563,69.905827
0.475296,1690657532.9661138,1.8195,27.70739,74.019255
0.363583,2029870624.5339928,2.79104,28.900294,70.262997
0.114654,4538685462.919095,4.58291,48.975013,67.074112
0.612565,3490580608.776452,2.49319,50.601845,74.321299
0.385385,2604617967.745921,5.0673,38.840827,71.793539
0.543775,1853054212.626234,2.20508,33.284082,75.834414
0.549,5300455389.558799,4.59577,66.120039,76.802304
0.867294,5818751290.452981,8.23181,50.818264,55.913765
0.465155,3274670328.0376983,1.78351,45.89792,73.47473
0.976389,4163770472.540704,5.11831,36.688486,49.343599
0.662542,2684720846.3141546,2.46795,41.318549,70.334073
0.859495,5894551601.927383,0.8514,50.388116,55.290822
0.246615,3357861430.8174443,4.8562,42.161274,69.045044
0.704175,3240355695.053421,3.16772,44.371858,67.019789
0.963388,4001061600.7434945,7.20712,36.868224,50.389017
0.428301,1655842956.7036333,0.802213,19.970718,69.985514
0.20268,5811287364.904784,2.05727,57.928263,65.725029
0.81814,2889687063.6713266,1.16437,35.575536,57.86784
0.617491,4586075006.648394,4.9238,59.808891,74.733122
0.501824,6319211825.157008,5.83574,72.573441,76.725984
0.628094,1332388138.1087356,3.36743,27.682272,73.575161
0.232655,2551801274.967474,1.30211,26.268498,65.154656
0.526108,1264102300.025263,3.87497,25.736471,76.490482
0.122149,3791084864.7538447,1.89081,37.645444,64.048996
0.171359,5542485562.702705,0.915455,52.353896,62.973553
0.429134,1970784854.0638957,4.25708,32.674464,73.026024
0.501015,3994220236.285422,8.66048,56.850174,77.30336
0.827157,6209872704.371265,10.9508,54.981029,58.485495
0.560527,4557932282.096546,1.01804,58.374888,74.802597
0.361788,4916520974.248913,1.09535,54.052211,68.304941
0.95225,5962151586.809927,1.66463,45.473263,50.726093
0.652979,3281899171.2996273,0.891117,45.566874,70.227665
0.529658,5335340105.606605,13.8265,67.97855,78.278182
0.558107,3471220565.2372327,7.828,53.177083,77.415184
0.812174,1809646625.7718894,2.93114,28.136225,58.742048
0.469915,3786183667.1510196,1.03321,49.496956,72.825552
0.955036,4744454100.681842,1.06255,39.991828,50.373048
0.83102,5382513627.500657,1.39094,49.653023,57.171751
0.555424,1974649854.3243728,6.03849,37.737033,77.113027
0.228991,6193578107.612334,0.855992,58.501335,63.924335
0.332318,2926148698.167366,3.18521,38.975424,70.27395
0.861919,2985901340.0037317,2.47873,35.405957,55.656015
0.662083,1557872842.3074985,1.33961,28.151635,69.816297
0.828946,2689487210.5966034,1.39405,33.969389,57.300433
0.687844,4168236101.066587,0.991162,50.547889,67.348052
0.70817,4808743937.576882,13.4982,56.101479,67.831112
0.897385,1229769059.8508873,8.87289,21.981339,54.442678
0.163507,1436625862.332481,1.34127,2.815941,63.777131
0.973215,6914511447.493836,3.8603,49.000799,49.476324
0.264998,6693306871.769429,8.16335,68.89887,71.073041
0.157597,1493827664.4837055,9.98887,19.090087,69.316491
0.667293,4948238419.453551,1.55108,57.560922,69.490826
0.690567,6150325066.364142,2.0268,63.18147,67.7247
0.659241,5533742101.237131,1.16419,61.571545,69.938709
0.279568,2199922033.7074795,11.925,34.768872,72.477695
0.825017,5014061001.702286,2.02345,48.284567,57.736595
0.263367,6808077589.800209,12.5986,70.606577,72.033934
0.297427,1217370237.4753406,13.9765,22.853094,73.25647
0.781885,4546391318.932158,3.10755,48.371791,60.738502
0.133234,6125513911.173712,8.48442,63.363663,68.73804
0.408824,2975437540.3213015,3.52186,42.237822,71.765627
0.54831,1661593809.4312549,0.973157,28.055024,74.757821
0.723684,2832291589.726489,8.422,41.417291,66.160317
0.202148,1850365133.4189253,1.10827,8.942682,64.120817
0.286216,5192970096.707551,8.73296,59.954363,71.943449
0.959781,6931085586.562853,0.803096,49.567883,49.93691
0.476058,3880169752.9549627,8.30666,55.21378,76.488843
0.993586,2797007128.4036703,9.6934,29.283414,48.468143
0.456754,3087125157.9981194,0.906713,41.738976,71.868464
0.13461,1945102217.3327572,7.78942,23.628811,68.482806
0.31405,3669987127.261158,8.92292,48.726018,72.425503
0.963814,5083694629.00004,1.2983,41.011594,49.801702
0.457933,6748837664.600281,14.3402,75.009028,76.567514
0.303071,3175663764.6836095,2.22658,39.262723,69.137457
0.397041,3294053632.466366,2.92118,44.315657,71.017796
0.94995,4896090519.565386,1.49719,41.192791,50.857043
0.26119,4371375523.761183,1.07568,46.593224,65.947317
0.554414,1204004261.2722511,11.267,29.211211,77.924386
0.726909,3657719603.6921735,1.14159,45.094692,64.414768
0.103333,6474608905.0831375,11.9298,67.829349,71.24653
0.642401,4511593552.232443,9.38163,58.434171,73.406836
0.425145,5619231830.174007,3.53084,63.862316,72.493243
0.629743,5777300163.030893,3.60516,66.371807,73.517236
0.140387,5120810682.469875,4.86453,54.735869,67.154485
0.480041,6110106864.595155,10.2848,71.630381,76.985429
0.590941,3388891660.5548277,5.52579,51.61754,76.216105
0.290662,5751621137.466337,1.66342,59.666703,68.15927
0.884682,2607651092.372083,7.83931,32.958624,54.989113
0.377295,1999893498.6605358,2.97643,29.356954,70.597575
0.859515,1621257540.9900808,7.30476,26.228175,56.293662
0.386875,5128056983.309609,1.80773,57.42815,69.817122
0.136059,1633166264.4516847,1.11057,2.619469,62.536112
