Pri_dMass,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal
0.38105,3367780977.5738397,5.5315,20.773614,25.698577
0.768446,4266223998.6763597,4.00128,33.467815,38.394523
0.768044,6956402443.217336,9.05962,38.401098,38.466074
0.674736,1635701272.9102564,4.03199,23.804791,35.343032
0.433107,2824235150.9970694,6.18935,21.064052,27.161461
0.788921,4451463077.096296,11.3915,34.594595,39.279091
0.136506,4094734017.5699396,11.0053,66.582566,85.357456
0.934866,6091155287.880686,5.65145,44.790672,47.699596
0.604534,5915521540.954286,1.46253,31.604198,33.089201
0.627218,1410436845.5604541,2.03852,21.451306,33.855653
0.617937,2679258523.848469,4.98053,26.043004,33.716094
0.724937,5187622494.523315,1.95179,33.928164,36.858482
0.744101,5760423130.581645,4.07455,35.530195,37.560104
0.330293,6275441169.987093,9.34832,110.747109,114.850071
0.18889,2089132636.894479,2.80531,11.777306,88.615329
0.932824,5498833452.378265,3.68368,43.099211,47.519102
0.466791,5984817423.05439,14.174,27.353443,28.517958
0.789437,4909614282.857428,3.18091,35.384538,39.18862
0.404194,3120840022.297681,1.07433,19.606287,25.660264
0.961396,3032589719.102399,4.44885,36.998343,49.811482
0.38549,2144512728.521576,2.30139,17.131968,25.455301
0.848788,3608529030.1981983,4.17134,34.481341,41.826106
0.268992,3441959451.0197215,6.7695,79.75578,106.11405
0.240397,5170193799.161301,2.49374,85.532044,97.568565
0.559916,4886726483.885782,9.49647,28.962667,31.830551
0.149374,2606014779.893405,6.09098,30.316674,86.185876
0.635556,5133364592.019091,2.48573,31.369499,34.136282
0.935685,3759348032.9751053,6.19201,38.436474,47.767383
0.856149,6269329175.590564,1.32931,40.68225,42.097155
0.100201,1587403730.8766775,3.35707,2.028352,61.147978
0.930491,5331078163.059738,2.90155,42.520771,47.327114
0.979262,5297567076.259439,8.26145,45.312946,51.528445
0.952133,4991832381.756427,4.35282,42.715129,49.035193
0.159323,1488529229.9107141,1.4006,2.045573,81.908253
0.522888,2800590726.0523696,1.54352,23.067641,30.031153
0.308185,2827445227.873723,4.00901,75.440247,110.797023
0.151059,5314386038.374006,4.64544,75.215683,85.465253
0.549659,4626093118.423634,1.16004,27.643509,31.014908
0.844616,5420974978.108489,4.06582,38.557402,41.627552
0.71343,6842111615.623392,3.0725,36.284486,36.542494
0.560227,3223192858.4422293,2.50476,25.447483,31.576628
0.355237,3449566688.291009,2.28093,19.712509,24.886714
0.815207,6946598958.41532,11.6324,40.340908,40.423008
0.189328,5574841967.524182,2.91304,79.712263,88.83905
0.393315,6008066267.896656,3.60703,24.658624,25.803617
0.455145,4578808420.741462,4.0739,24.677721,27.789202
0.176556,1696170258.1023893,6.00745,14.058766,91.008636
0.54781,2586195779.4278107,4.46221,23.825687,31.218342
0.164539,5333675786.15476,2.9918,75.219631,86.585142
0.3487,1767400542.0941043,3.21046,57.134669,114.079131
0.508194,5656868143.398732,2.35,27.83602,29.575121
0.510309,2466731727.789734,12.7921,22.803365,30.033282
0.104976,4070147315.826488,4.44047,20.486348,66.403705
0.775761,5738627048.508099,9.07478,36.57301,38.75076
0.873064,4536048269.30065,0.819297,37.593362,42.979186
